,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error
10,MARUTI,AMARAJABAT,0.0,2.13,1.71,7266.61,-3.45
49,MARUTI,BAJAJ-AUTO,0.0,0.48,1.21,7599.09,-3.6
85,MRF,EXIDEIND,0.0,54.61,0.74,60249.31,-3.52
99,MRF,M&M,0.0,14.48,0.77,61511.34,-3.33
110,MARUTI,MOTHERSUMI,0.0,3.69,0.86,7807.77,-3.07
114,MOTHERSUMI,TVSMOTOR,0.0,0.39,0.78,85.34,-3.21
