,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Current_STD_Error
0,AXISBANK,BANKBARODA,0.00,2.67,1.30,220.68,2.47
1,HDFCBANK,AXISBANK,0.00,-0.71,1.55,2536.54,-2.76
2,AXISBANK,ICICIBANK,0.00,1.77,1.48,44.07,-0.03
3,AXISBANK,IDFCBANK,0.00,12.56,1.49,57.00,0.00
4,INDUSINDBK,AXISBANK,0.27,-0.14,1.55,2013.27,-1.25
5,KOTAKBANK,AXISBANK,0.00,-0.86,1.55,1815.69,-2.76
6,PNB,AXISBANK,0.00,0.05,1.55,53.38,-1.24
7,RBLBANK,AXISBANK,0.00,0.38,1.55,362.23,0.27
8,SBIN,AXISBANK,0.00,0.30,1.55,112.71,-1.67
9,YESBANK,AXISBANK,0.13,-0.09,1.55,421.23,-1.67
10,HDFCBANK,BANKBARODA,0.12,-0.77,1.30,2222.29,-2.66
11,ICICIBANK,BANKBARODA,0.00,1.60,1.30,87.92,3.08
12,IDFCBANK,BANKBARODA,0.00,0.20,1.30,15.45,2.39
13,INDUSINDBK,BANKBARODA,0.01,1.09,1.30,1782.25,-0.81
14,KOTAKBANK,BANKBARODA,0.00,-2.36,1.30,1631.75,-3.75
15,PNB,BANKBARODA,0.00,0.24,1.30,49.57,1.53
16,RBLBANK,BANKBARODA,0.00,0.90,1.30,460.75,1.60
17,SBIN,BANKBARODA,0.00,1.24,1.30,116.54,2.91
18,YESBANK,BANKBARODA,0.21,0.29,1.30,326.22,-1.46
19,HDFCBANK,ICICIBANK,0.00,-1.23,1.48,2495.62,-2.62
20,HDFCBANK,IDFCBANK,0.00,-9.21,1.49,2506.62,-2.66
21,HDFCBANK,INDUSINDBK,0.00,0.48,5.46,1191.85,-1.87
22,HDFCBANK,KOTAKBANK,0.00,0.78,3.48,1101.56,-1.48
23,HDFCBANK,PNB,0.02,-4.05,2.85,2449.42,-2.58
24,HDFCBANK,RBLBANK,0.00,-1.01,3.21,2710.35,-2.30
25,HDFCBANK,SBIN,0.01,-0.91,2.06,2378.48,-2.61
26,HDFCBANK,YESBANK,0.00,1.49,2.07,1573.81,-1.48
27,IDFCBANK,ICICIBANK,0.00,0.13,1.48,1.64,0.08
28,INDUSINDBK,ICICIBANK,0.74,0.08,1.48,1907.47,-1.32
29,KOTAKBANK,ICICIBANK,0.00,-1.57,1.48,1791.23,-2.68
30,PNB,ICICIBANK,0.00,0.10,1.48,50.96,-1.47
31,RBLBANK,ICICIBANK,0.00,0.61,1.48,396.72,0.26
32,SBIN,ICICIBANK,0.00,0.60,1.48,104.19,-2.25
33,YESBANK,ICICIBANK,0.24,-0.14,1.48,407.44,-1.67
34,INDUSINDBK,IDFCBANK,0.96,-0.08,1.49,1934.70,-1.30
35,KOTAKBANK,IDFCBANK,0.00,-10.64,1.49,1758.17,-2.28
36,PNB,IDFCBANK,0.00,0.68,1.49,53.28,-1.33
37,RBLBANK,IDFCBANK,0.00,4.78,1.49,382.67,0.25
38,SBIN,IDFCBANK,0.00,3.99,1.49,118.45,-1.74
39,YESBANK,IDFCBANK,0.25,-0.97,1.49,406.63,-1.67
40,INDUSINDBK,KOTAKBANK,0.30,0.13,3.48,1755.06,-1.07
41,INDUSINDBK,PNB,0.04,3.43,2.85,1649.48,-1.16
42,INDUSINDBK,RBLBANK,0.01,-0.68,3.21,2328.48,-1.20
43,INDUSINDBK,SBIN,0.01,0.85,2.06,1686.20,-1.16
44,INDUSINDBK,YESBANK,0.00,1.15,2.07,1509.93,-0.38
45,KOTAKBANK,PNB,0.00,-8.26,2.85,1985.86,-2.76
46,KOTAKBANK,RBLBANK,0.00,-1.20,3.21,2008.26,-1.74
47,KOTAKBANK,SBIN,0.00,-1.91,2.06,1857.40,-3.05
48,KOTAKBANK,YESBANK,0.01,0.79,2.07,1020.43,-1.15
49,RBLBANK,PNB,0.00,3.10,2.85,330.12,0.96
50,PNB,SBIN,0.00,0.18,2.06,30.88,-0.26
51,PNB,YESBANK,0.98,-0.00,2.07,82.27,-0.68
52,RBLBANK,SBIN,0.00,0.75,2.06,369.87,1.05
53,RBLBANK,YESBANK,0.23,-0.17,2.07,647.72,0.22
54,YESBANK,SBIN,0.34,0.17,2.06,317.96,-1.65
