,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type
,5/9/19 10:05:39,BACKRATIO,BUY,+4,TO CLOSE,SPX,17 MAY 19,2865,CALL,38.00,-6.75,LMT
,,,SELL,-5,TO CLOSE,SPX,17 MAY 19,2880,CALL,29.05,DEBIT,
,5/9/19 09:51:26,BACKRATIO,SELL,-4,TO OPEN,SPX,17 MAY 19,2865,CALL,35.225,-7.85,LMT
,,,BUY,+5,TO OPEN,SPX,17 MAY 19,2880,CALL,26.61,CREDIT,
,5/9/19 09:48:27,SINGLE,SELL,-1,TO CLOSE,SPX,10 MAY 19,2870,CALL,17.30,17.30,LMT
,5/9/19 09:37:58,SINGLE,BUY,+2,TO CLOSE,SPX,10 MAY 19,2855,CALL,27.50,27.50,LMT
,5/9/19 08:42:02,FUTURE,SELL,-1,TO OPEN,/6BM19,JUN 19,,FUTURE,1.3042,1.3042,LMT
,5/9/19 08:29:40,SINGLE,SELL,-2,TO OPEN,SPX,10 MAY 19,2855,CALL,14.80,14.80,LMT
,5/9/19 07:55:37,FUTURE,SELL,-1,TO CLOSE,/ESM19,JUN 19,,FUTURE,2844.00,2844.00,STP
,5/9/19 07:55:34,VERTICAL,SELL,-1,TO CLOSE,SPX,10 MAY 19,2850,PUT,27.53,2.15,LMT
,,,BUY,+1,TO CLOSE,SPX,10 MAY 19,2845,PUT,25.38,CREDIT,
,5/9/19 07:52:18,FUTURE,SELL,-1,TO CLOSE,/NQM19,JUN 19,,FUTURE,7510.00,7510.00,STP
,5/9/19 07:45:26,SINGLE,BUY,+1,TO CLOSE,SPX,10 MAY 19,2865,CALL,12.50,12.50,LMT
,5/9/19 07:43:20,FUTURE,BUY,+1,TO OPEN,/ESM19,JUN 19,,FUTURE,2843.50,2843.50,LMT
,5/9/19 07:43:07,FUTURE,BUY,+1,TO OPEN,/NQM19,JUN 19,,FUTURE,7506.00,7506.00,LMT
,5/9/19 06:59:30,VERTICAL,BUY,+1,TO OPEN,SPX,10 MAY 19,2850,PUT,25.70,2.10,LMT
,,,SELL,-1,TO OPEN,SPX,10 MAY 19,2845,PUT,23.60,DEBIT,
,5/9/19 06:59:27,VERTICAL,SELL,-1,TO OPEN,SPX,10 MAY 19,2865,CALL,16.35,2.25,LMT
,,,BUY,+1,TO OPEN,SPX,10 MAY 19,2870,CALL,14.10,CREDIT,
,5/9/19 06:51:36,DBL DIAG,SELL,-1,TO CLOSE,NDX,19 JUL 19,7950,CALL,87.15,108.80,LMT
,,,SELL,-1,TO CLOSE,NDX,19 JUL 19,7750,PUT,384.09,CREDIT,
,,,BUY,+1,TO CLOSE,NDX,7 JUN 19,7850,CALL,53.37,,
,,,BUY,+1,TO CLOSE,NDX,7 JUN 19,7725,PUT,309.07,,
,5/8/19 21:52:07,SINGLE,SELL,-1,TO OPEN,/ESM19 1/50 MAY 19 (EOM),/EWK19,2635,PUT,10.75,10.75,LMT
,5/8/19 17:44:48,FUTURE,BUY,+1,TO CLOSE,/CLM19,JUN 19,,FUTURE,61.62,61.62,LMT
,5/8/19 17:30:48,FUTURE,SELL,-1,TO CLOSE,/GCM19,JUN 19,,FUTURE,1283.30,1283.30,LMT
,5/8/19 10:34:39,FUTURE,BUY,+1,TO OPEN,/GCM19,JUN 19,,FUTURE,1281.50,1281.50,LMT
,5/8/19 08:49:25,FUTURE,SELL,-1,TO OPEN,/CLM19,JUN 19,,FUTURE,62.17,62.17,LMT
,5/8/19 06:50:17,SINGLE,SELL,-1,TO CLOSE,SPX,5 JUL 19,2860,PUT,64.00,64.00,LMT
,5/7/19 13:56:55,STRANGLE,SELL,-1,TO OPEN,/ESM19 1/50 JUN 19 (Wk1),/EW1M19,2985,CALL,11.00,32.50,LMT
,,,SELL,-1,TO OPEN,/ESM19 1/50 JUN 19 (Wk1),/EW1M19,2745,PUT,21.50,CREDIT,
,5/7/19 13:01:20,SINGLE,SELL,-1,TO CLOSE,SPX,5 JUL 19,3000,CALL,20.00,20.00,LMT
,5/7/19 12:44:06,VERTICAL,SELL,-1,TO OPEN,NDX,7 JUN 19,7850,CALL,71.98,29.88,LMT
,,,BUY,+1,TO CLOSE,NDX,7 JUN 19,7950,CALL,42.10,CREDIT,
,5/7/19 12:32:57,STRANGLE,BUY,+1,TO CLOSE,SPX,7 JUN 19,2970,CALL,13.30,98.20,LMT
,,,BUY,+1,TO CLOSE,SPX,7 JUN 19,2920,PUT,84.90,DEBIT,
,5/7/19 12:30:38,VERTICAL,SELL,-1,TO CLOSE,SPX,5 JUL 19,2900,PUT,88.15,15.50,LMT
,,,BUY,+1,TO OPEN,SPX,5 JUL 19,2860,PUT,72.65,CREDIT,
,5/7/19 11:23:52,SINGLE,SELL,-1,TO CLOSE,SPX,20 MAY 19,2860,PUT,36.50,36.50,LMT
,5/7/19 09:15:19,CUSTOM,SELL,-4,TO OPEN,/ESM19 1/50 MAY 19 (EOM),/EWK19,2950,CALL,18.25,23.00,LMT
,,,BUY,+5,TO OPEN,/ESM19 1/50 MAY 19 (EOM),/EWK19,2975,CALL,10.00,CREDIT,
,5/7/19 09:04:32,SINGLE,BUY,+1,TO OPEN,SPX,20 MAY 19,2860,PUT,33.50,33.50,LMT
,5/7/19 08:33:10,FUTURE,BUY,+1,TO CLOSE,/ESM19,JUN 19,,FUTURE,2894.50,2894.50,LMT
,5/7/19 07:58:43,FUTURE,BUY,+1,TO CLOSE,/CLM19,JUN 19,,FUTURE,61.29,61.29,LMT
,5/7/19 06:58:33,SINGLE,BUY,+2,TO CLOSE,/CLN19 1/1000 JUL 19,/LON19,62,PUT,2.77,2.77,LMT
,5/7/19 06:51:13,SINGLE,BUY,+2,TO CLOSE,/ESM19 1/50 JUN 19 (Wk1),/EW1M19,2930,PUT,64.75,64.75,LMT
,5/7/19 06:49:51,BACKRATIO,BUY,+2,TO CLOSE,SPX,29 MAY 19,2965,CALL,12.20,-3.85,LMT
,,,SELL,-3,TO CLOSE,SPX,29 MAY 19,2985,CALL,6.85,DEBIT,
,5/7/19 06:49:21,STRANGLE,BUY,+2,TO CLOSE,/RTYM19 1/50 JUN 19,/RTOM19,1720,CALL,3.20,12.50,LMT
,,,BUY,+2,TO CLOSE,/RTYM19 1/50 JUN 19,/RTOM19,1455,PUT,9.30,DEBIT,
,5/6/19 09:45:33,CUSTOM,SELL,-3,TO OPEN,SPX,24 MAY 19,2920,CALL,34.25,10.50,LMT
,,,BUY,+5,TO OPEN,SPX,24 MAY 19,2950,CALL,18.45,CREDIT,
,5/6/19 09:37:25,CUSTOM,SELL,-2,TO OPEN,SPX,29 MAY 19,2965,CALL,14.41,3.95,LMT
,,,BUY,+3,TO OPEN,SPX,29 MAY 19,2985,CALL,8.29,CREDIT,
,5/6/19 08:41:40,STRANGLE,SELL,-2,TO OPEN,/RTYM19 1/50 JUN 19,/RTOM19,1720,CALL,3.60,10.70,LMT
,,,SELL,-2,TO OPEN,/RTYM19 1/50 JUN 19,/RTOM19,1455,PUT,7.10,CREDIT,
,5/6/19 08:26:30,SINGLE,SELL,-2,TO OPEN,/CLN19 1/1000 JUL 19,/LON19,62,PUT,2.35,2.35,LMT
,5/6/19 08:25:18,SINGLE,SELL,-2,TO OPEN,/ESM19 1/50 JUN 19 (Wk1),/EW1M19,2930,PUT,46.50,46.50,LMT
,5/6/19 07:58:43,FUTURE,SELL,-1,TO OPEN,/CLM19,JUN 19,,FUTURE,61.70,61.70,LMT
,5/6/19 07:35:19,FUTURE,SELL,-1,TO OPEN,/ESM19,JUN 19,,FUTURE,2915.75,2915.75,LMT
,5/6/19 05:28:49,FUTURE,BUY,+1,TO CLOSE,/ESM19,JUN 19,,FUTURE,2904.50,2904.50,TRSTP
,5/6/19 00:21:01,FUTURE,BUY,+1,TO CLOSE,/CLM19,JUN 19,,FUTURE,60.65,60.65,TRSTP
,5/5/19 20:22:32,SINGLE,BUY,+2,TO CLOSE,/ESM19 1/50 MAY 19 (EOM),/EWK19,2950,PUT,75.00,75.00,LMT
,5/5/19 19:21:16,SINGLE,BUY,+1,TO CLOSE,/ESM19 1/50 MAY 19 (EOM),/EWK19,2960,CALL,13.25,13.25,LMT
,5/5/19 16:05:42,SINGLE,SELL,-1,TO OPEN,/ESM19 1/50 MAY 19 (EOM),/EWK19,2960,CALL,14.50,14.50,LMT
,5/3/19 12:59:33,SINGLE,SELL,-2,TO OPEN,/ESM19 1/50 MAY 19 (EOM),/EWK19,2950,PUT,34.50,34.50,LMT
,5/3/19 12:58:21,DBL DIAG,BUY,+1,TO OPEN,NDX,19 JUL 19,7950,CALL,172.03,164.00,LMT
,,,BUY,+1,TO OPEN,NDX,19 JUL 19,7750,PUT,169.67,DEBIT,
,,,SELL,-1,TO OPEN,NDX,7 JUN 19,7950,CALL,86.30,,
,,,SELL,-1,TO OPEN,NDX,7 JUN 19,7725,PUT,91.40,,
,5/3/19 12:50:33,SINGLE,SELL,-2,TO CLOSE,NDX,5 JUN 19,7800,PUT,109.50,109.50,LMT
,5/3/19 12:20:42,SINGLE,BUY,+2,TO CLOSE,NDX,17 MAY 19,7800,PUT,69.50,69.50,LMT
,5/3/19 11:27:14,FUTURE,SELL,-1,TO OPEN,/ESM19,JUN 19,,FUTURE,2946.00,2946.00,LMT
,5/3/19 08:55:05,FUTURE,SELL,-1,TO OPEN,/CLM19,JUN 19,,FUTURE,62.35,62.35,LMT
,5/2/19 12:54:01,VERTICAL,SELL,-1,TO OPEN,SPX,7 JUN 19,2970,CALL,15.75,4.70,LMT
,,,BUY,+1,TO CLOSE,SPX,7 JUN 19,2985,CALL,11.05,CREDIT,
,5/2/19 08:29:48,SINGLE,BUY,+1,TO CLOSE,/NQM19 1/20 JUN 19 (Wk1),/QN1M19,7940,CALL,60.00,60.00,LMT
,5/2/19 08:23:00,SINGLE,BUY,+1,TO CLOSE,/NQM19 1/20 JUN 19 (Wk1),/QN1M19,7550,PUT,93.00,93.00,LMT
,5/2/19 07:58:28,STRANGLE,BUY,+1,TO CLOSE,/RTYM19 1/50 MAY 19 (Wk2),/R2EK19,1625,CALL,1.70,4.00,LMT
,,,BUY,+1,TO CLOSE,/RTYM19 1/50 MAY 19 (Wk2),/R2EK19,1510,PUT,2.30,DEBIT,
,5/2/19 07:56:42,SINGLE,SELL,-1,TO CLOSE,NDX,3 MAY 19,7780,CALL,23.30,23.30,LMT
,5/2/19 07:33:05,SINGLE,BUY,+1,TO OPEN,NDX,3 MAY 19,7780,CALL,30.26,30.26,LMT
,5/1/19 17:48:02,STRANGLE,SELL,-1,TO OPEN,/RTYM19 1/50 MAY 19 (Wk2),/R2EK19,1625,CALL,1.70,4.40,LMT
,,,SELL,-1,TO OPEN,/RTYM19 1/50 MAY 19 (Wk2),/R2EK19,1510,PUT,2.70,CREDIT,
,5/1/19 16:39:48,FUTURE,SELL,-1,TO CLOSE,/NKDM19,JUN 19,,FUTURE,22235.00,22235.00,LMT
,5/1/19 15:15:11,FUTURE,BUY,+1,TO OPEN,/NKDM19,JUN 19,,FUTURE,22175.00,22175.00,LMT
,5/1/19 13:30:15,STRANGLE,SELL,-1,TO OPEN,/NQM19 1/20 JUN 19 (Wk1),/QN1M19,7940,CALL,65.00,150.75,LMT
,,,SELL,-1,TO OPEN,/NQM19 1/20 JUN 19 (Wk1),/QN1M19,7550,PUT,85.75,CREDIT,
,5/1/19 12:59:15,DIAGONAL,SELL,-1,TO CLOSE,NDX,21 JUN 19,7900,CALL,109.95,78.40,LMT
,,,BUY,+1,TO CLOSE,NDX,10 MAY 19,7850,CALL,31.55,CREDIT,
,5/1/19 12:33:35,DBL DIAG,BUY,+1,TO OPEN,SPX,5 JUL 19,3000,CALL,25.00,18.00,LMT
,,,BUY,+1,TO OPEN,SPX,5 JUL 19,2900,PUT,44.05,DEBIT,
,,,SELL,-1,TO OPEN,SPX,7 JUN 19,2985,CALL,16.30,,
,,,SELL,-1,TO OPEN,SPX,7 JUN 19,2920,PUT,34.75,,
,4/30/19 12:09:58,CALENDAR,BUY,+2,TO OPEN,NDX,5 JUN 19,7800,PUT,148.58,44.20,LMT
,,,SELL,-2,TO OPEN,NDX,17 MAY 19,7800,PUT,104.38,DEBIT,
,4/30/19 10:50:20,STRADDLE,BUY,+2,TO CLOSE,/CLN19 1/1000 JUL 19,/LON19,63,CALL,3.00,4.84,LMT
,,,BUY,+2,TO CLOSE,/CLN19 1/1000 JUL 19,/LON19,63,PUT,1.84,DEBIT,
,4/30/19 09:48:10,FUTURE,SELL,-1,TO CLOSE,/NQM19,JUN 19,,FUTURE,7782.00,7782.00,LMT
,4/30/19 09:00:45,FUTURE,BUY,+1,TO OPEN,/NQM19,JUN 19,,FUTURE,7772.50,7772.50,LMT
,4/30/19 08:50:13,SINGLE,SELL,-1,TO CLOSE,NDX,21 JUN 19,7725,PUT,159.21,159.21,LMT
,4/30/19 08:00:49,SINGLE,BUY,+1,TO CLOSE,NDX,10 MAY 19,7850,PUT,133.81,133.81,LMT
,4/30/19 06:34:11,STRANGLE,SELL,-1,TO CLOSE,GOOGL,7 JUN 19,1310,CALL,3.49,90.75,LMT
,,,SELL,-1,TO CLOSE,GOOGL,7 JUN 19,1282.5,PUT,87.26,CREDIT,
,4/30/19 06:30:55,STRANGLE,BUY,+1,TO CLOSE,GOOGL,3 MAY 19,1312.5,CALL,.10,94.87,LMT
,,,BUY,+1,TO CLOSE,GOOGL,3 MAY 19,1282.5,PUT,94.77,DEBIT,
,4/29/19 16:35:00,STRANGLE,BUY,+1,TO CLOSE,/NQM19 1/20 MAY 19 (EOM),/QNEK19,7910,CALL,79.75,128.50,LMT
,,,BUY,+1,TO CLOSE,/NQM19 1/20 MAY 19 (EOM),/QNEK19,7490,PUT,48.75,DEBIT,
