Date,AXISBANK,BANKBARODA,HDFCBANK,ICICIBANK,IDFCBANK,INDUSINDBK,KOTAKBANK,PNB,SBIN
2018-05-24,534.45,138.85,1986.0,297.7,,1870.7,1275.45,82.1,268.5
2018-05-25,538.5,141.3,2008.7,295.65,,1914.95,1295.85,83.35,266.95
2018-05-28,546.15,145.4,2042.2,299.25,,1914.45,1297.15,88.7,272.05
2018-05-29,547.75,140.4,2032.6,289.9,,1877.3,1284.25,85.65,264.3
2018-05-30,541.65,138.45,2048.35,284.9,,1884.85,1303.25,86.1,267.15
2018-05-31,545.9,136.85,2139.45,285.8,,1955.45,1334.6,83.65,269.55
2018-06-01,536.65,136.95,2110.6,289.3,,1915.4,1318.0,82.95,266.7
2018-06-04,537.05,131.55,2046.2,286.75,,1902.2,1303.95,83.2,263.0
2018-06-05,530.9,127.75,2063.6,284.1,,1899.4,1304.7,82.65,263.55
2018-06-06,531.4,130.25,2057.35,283.9,,1919.8,1315.7,84.7,270.15
2018-06-07,542.4,131.4,2062.2,290.9,,1900.45,1310.45,86.1,269.65
2018-06-08,537.4,132.25,2049.35,288.25,,1888.7,1318.35,90.45,273.0
2018-06-11,539.95,133.7,2042.3,286.4,,1904.8,1323.35,91.6,274.0
2018-06-12,537.15,133.35,2043.85,287.4,,1954.75,1329.3,91.75,282.85
2018-06-13,540.65,136.75,2031.45,290.75,,1945.45,1325.65,91.3,287.7
2018-06-14,532.0,135.15,2037.4,284.75,,1963.4,1332.65,91.7,282.6
2018-06-15,528.75,131.3,2029.6,282.5,,1967.35,1340.0,89.85,277.45
2018-06-18,522.55,130.4,2019.15,293.0,,1967.95,1315.3,88.5,276.85
2018-06-19,517.2,127.85,2023.5,292.8,,1931.5,1303.25,86.8,272.6
2018-06-20,519.1,125.1,2056.15,293.2,,1967.4,1324.6,86.2,273.3
2018-06-21,513.05,122.0,2057.6,297.95,,1960.5,1313.95,83.4,268.65
2018-06-22,525.65,121.5,2083.35,300.65,,1953.25,1321.4,81.9,273.05
2018-06-25,515.2,116.8,2094.95,289.7,,1969.95,1328.0,79.8,268.45
2018-06-26,514.2,118.05,2093.7,288.1,,1983.3,1329.85,79.85,267.4
2018-06-27,507.85,115.15,2112.6,279.05,,1969.25,1324.2,76.75,261.7
2018-06-28,504.6,113.0,2130.85,271.4,,1967.6,1339.1,72.8,257.0
2018-06-29,510.8,112.65,2108.45,275.4,,1932.2,1342.95,76.15,259.35
2018-07-02,512.25,113.65,2073.25,277.4,,1948.8,1337.95,78.15,258.85
2018-07-03,511.55,113.0,2070.2,272.9,,1951.0,1353.15,77.15,257.5
2018-07-04,514.75,113.1,2103.55,273.25,,1976.3,1365.25,76.1,257.45
2018-07-05,511.0,113.25,2123.75,271.55,,1964.45,1365.0,75.55,256.45
2018-07-06,513.7,115.55,2115.15,270.05,,1959.4,1371.2,76.95,257.2
2018-07-09,525.25,117.0,2125.65,271.2,,1958.3,1385.1,77.8,261.55
2018-07-10,532.55,119.5,2146.4,273.4,,1935.1,1372.15,77.85,263.75
2018-07-11,536.55,116.2,2148.25,268.75,,1914.8,1386.95,75.55,259.1
2018-07-12,538.35,119.45,2165.95,272.3,,1938.15,1389.8,76.1,262.75
2018-07-13,523.0,117.4,2180.9,267.75,,1923.75,1404.35,73.85,257.75
2018-07-16,522.1,113.05,2168.85,259.25,,1922.75,1408.45,73.85,251.6
2018-07-17,537.9,120.8,2176.75,266.45,,1905.0,1400.6,78.7,259.05
2018-07-18,526.55,117.65,2176.2,262.7,,1892.55,1398.55,75.2,259.55
2018-07-19,526.8,120.05,2186.1,261.2,,1888.25,1347.4,75.3,260.2
2018-07-20,533.7,120.25,2189.05,265.8,,1902.55,1333.3,75.55,261.5
2018-07-23,540.35,126.3,2156.45,275.55,,1940.15,1337.05,78.95,266.35
2018-07-24,546.1,132.55,2159.75,274.35,,1947.4,1312.25,79.3,266.85
2018-07-25,532.25,131.8,2170.35,274.65,,1965.05,1314.9,79.25,271.85
2018-07-26,541.65,138.85,2192.6,285.65,,1960.35,1311.25,80.85,287.7
2018-07-27,553.25,137.85,2202.15,293.2,,1981.55,1311.1,82.0,286.75
2018-07-30,569.65,152.05,2169.9,307.35,,1970.2,1305.25,85.9,297.4
2018-07-31,550.4,153.35,2179.5,304.25,,1995.15,1306.85,85.1,293.5
2018-08-01,545.15,150.2,2158.7,299.3,,2001.35,1312.7,87.4,295.1
2018-08-02,547.25,147.25,2130.2,298.55,,2023.05,1280.2,85.15,293.9
2018-08-03,574.75,149.6,2121.65,305.0,,2015.85,1309.5,88.15,299.25
2018-08-06,596.8,150.55,2114.3,315.1,,1999.8,1282.8,90.05,308.5
2018-08-07,593.05,146.15,2130.9,313.15,,1994.3,1283.7,82.85,304.05
2018-08-08,596.3,148.6,2136.35,318.7,,2000.65,1288.3,80.45,308.7
2018-08-09,621.05,154.75,2118.5,333.0,,1985.05,1277.25,83.4,317.4
2018-08-10,615.5,148.3,2114.45,328.6,,1979.5,1285.5,83.25,304.45
2018-08-13,604.9,145.65,2091.65,324.9,,1993.9,1287.15,80.4,294.15
2018-08-14,618.05,146.3,2089.1,332.45,,1997.6,1293.0,79.9,294.9
2018-08-16,623.45,142.7,2075.7,334.3,,1984.2,1245.4,81.55,292.7
2018-08-17,627.3,146.2,2077.35,340.0,,1990.4,1263.25,83.45,302.1
2018-08-20,624.4,151.0,2096.2,338.45,,1990.95,1274.75,84.2,307.65
2018-08-21,635.75,150.9,2096.05,338.85,,1975.95,1263.4,83.65,307.0
2018-08-23,631.75,149.85,2079.9,337.2,,1957.2,1247.7,84.5,302.45
2018-08-24,639.9,147.4,2069.85,330.15,,1928.15,1254.5,85.8,300.45
2018-08-27,650.2,150.05,2080.45,339.9,,1951.35,1274.9,85.25,308.0
2018-08-28,660.05,143.85,2094.85,338.9,,1933.65,1285.1,82.9,305.35
2018-08-29,656.9,147.7,2078.5,340.65,,1905.55,1288.6,84.15,309.7
2018-08-30,649.75,150.15,2066.1,344.35,,1875.65,1278.05,85.1,308.6
2018-08-31,649.25,152.95,2061.2,342.6,,1906.6,1287.25,88.15,309.6
2018-09-03,631.8,151.7,2075.05,334.15,,1897.0,1269.1,86.35,306.35
2018-09-04,641.8,145.55,2051.8,328.5,,1855.6,1257.6,83.15,296.4
2018-09-05,637.65,144.55,2045.85,329.65,,1854.85,1238.15,83.1,296.55
2018-09-06,638.2,146.1,2052.2,328.65,,1880.0,1260.9,83.25,296.45
2018-09-07,645.55,148.05,2056.95,335.1,,1875.85,1244.95,84.4,291.65
2018-09-10,651.75,146.6,2041.15,332.9,,1829.15,1223.35,82.7,284.85
2018-09-11,650.15,140.5,2000.4,326.55,,1826.5,1206.4,81.7,282.6
2018-09-12,635.45,133.55,2011.85,322.9,,1828.35,1230.4,81.15,285.3
2018-09-14,636.4,134.4,2029.6,328.35,,1872.8,1239.55,82.8,290.65
2018-09-17,625.95,135.25,1992.2,325.7,,1877.05,1230.4,83.0,285.3
2018-09-18,608.6,113.1,1989.2,318.85,,1862.15,1215.3,79.3,273.8
2018-09-19,608.8,116.35,1961.35,320.95,,1804.65,1226.9,79.25,271.5
2018-09-21,599.2,111.45,1970.25,317.1,,1762.45,1180.2,72.85,270.6
2018-09-24,597.35,107.7,1925.7,308.75,,1674.2,1148.7,69.2,264.35
2018-09-25,614.35,109.45,1952.4,311.1,,1696.75,1183.35,66.95,270.9
2018-09-26,617.45,109.15,1968.2,313.1,,1701.8,1169.4,67.05,263.85
2018-09-27,600.15,104.35,1976.15,306.65,,1682.0,1142.45,62.5,265.35
2018-09-28,613.25,99.5,2006.05,305.55,,1690.05,1141.6,59.7,265.5
2018-10-01,593.45,104.4,2035.45,314.0,,1642.65,1122.0,63.2,273.85
2018-10-03,572.25,103.3,2031.15,303.7,,1638.7,1098.25,64.65,271.7
2018-10-04,586.25,103.35,1957.75,316.5,,1589.5,1074.5,64.8,271.35
2018-10-05,568.5,99.1,1965.3,307.3,,1607.35,1052.2,63.85,258.35
2018-10-08,556.55,97.5,1945.0,310.85,,1600.0,1104.3,62.85,265.75
2018-10-09,552.85,93.25,1940.6,306.25,,1607.9,1108.45,62.65,262.95
2018-10-10,589.2,95.6,1967.15,319.85,,1637.95,1137.75,66.3,278.65
2018-10-11,580.85,93.95,1937.55,311.7,,1592.55,1115.55,64.3,262.15
2018-10-12,584.9,96.5,1981.85,319.4,,1652.7,1167.15,66.5,263.75
2018-10-15,576.55,97.35,2008.05,313.35,,1626.95,1170.45,67.55,263.2
2018-10-16,588.85,100.25,1992.75,320.65,,1620.55,1175.75,69.95,270.3
2018-10-17,576.05,99.6,1974.6,314.8,,1603.9,1176.0,66.5,261.15
2018-10-19,562.55,102.4,1967.75,315.45,,1576.7,1198.95,66.0,261.1
2018-10-22,562.05,102.6,1998.9,327.1,,1449.45,1164.0,65.7,260.35
2018-10-23,562.75,101.7,1984.85,322.85,,1473.15,1174.45,64.75,255.65
2018-10-24,564.1,102.65,1992.25,322.0,,1521.35,1177.1,65.8,255.7
2018-10-25,561.05,98.45,1968.8,319.95,,1491.1,1185.8,65.65,249.55
2018-10-26,537.7,98.85,1961.2,315.65,,1445.8,1158.6,66.15,248.1
2018-10-29,566.7,107.1,1926.3,349.4,,1412.8,1138.1,70.9,267.9
2018-10-30,562.7,110.0,1912.75,345.7,,1364.3,1123.8,72.55,273.15
2018-10-31,582.4,110.65,1911.75,355.0,,1425.1,1119.15,73.65,281.4
2018-11-01,602.15,107.7,1912.2,353.7,,1463.95,1109.55,74.3,285.9
2018-11-02,610.65,109.9,1949.45,354.45,,1541.8,1133.2,69.05,285.35
2018-11-05,624.4,111.2,1956.0,349.65,,1486.45,1129.45,70.4,294.95
2018-11-06,607.45,110.45,1946.55,353.1,,1475.45,1125.3,70.6,286.45
2018-11-07,606.85,110.95,1957.95,355.9,,1483.9,1134.3,70.95,286.55
2018-11-09,613.2,111.5,1945.4,356.85,,1494.9,1135.55,71.65,283.25
2018-11-12,606.55,109.4,1921.05,352.35,,1493.0,1153.7,70.5,277.95
