,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error,Alpha:YPrice
0,BANKNIFTY,AXISBANK,0.0000,23.82,0.74,12561.72,-1.87,51.39094522254428
1,BANKNIFTY,BANKBARODA,0.0000,-18.73,0.44,28171.91,-1.50,115.25341144560198
2,BANKNIFTY,HDFCBANK,0.0000,7.98,0.71,10284.33,-2.58,42.07397073653678
3,BANKNIFTY,ICICIBANK,0.0000,21.19,0.80,18976.40,-0.86,77.6338855603444
4,BANKNIFTY,IDFCBANK,0.0000,-100.48,0.37,30538.17,-2.42,124.93395981336514
5,BANKNIFTY,INDUSINDBK,0.0000,7.04,0.64,13154.30,-0.03,53.815234756141216
6,BANKNIFTY,KOTAKBANK,0.0000,7.62,0.46,16940.68,-0.63,69.30560129605273
7,BANKNIFTY,PNB,0.0000,-12.85,0.18,27003.92,-1.46,110.47507614514318
8,BANKNIFTY,RBLBANK,0.0000,22.20,0.86,13712.27,-0.14,56.09793216587675
9,BANKNIFTY,SBIN,0.0000,11.48,0.61,22149.11,-0.53,90.61368178387256
10,BANKNIFTY,YESBANK,0.0000,-1.29,0.08,26223.84,-1.41,107.28370995092754
11,AXISBANK,BANKBARODA,0.3078,-0.12,0.44,556.10,0.61,97.81882145998242
12,AXISBANK,HDFCBANK,0.0000,0.14,0.71,273.40,0.59,48.0914687774846
13,ICICIBANK,AXISBANK,0.0000,0.36,0.74,107.84,-0.41,35.09274324764074
14,AXISBANK,IDFCBANK,0.0000,-1.63,0.37,621.89,0.11,109.39138082673703
15,AXISBANK,INDUSINDBK,0.0000,0.10,0.64,368.52,1.16,64.82321899736148
16,AXISBANK,KOTAKBANK,0.0000,0.11,0.46,414.07,0.99,72.83553210202287
17,AXISBANK,PNB,0.0000,-0.23,0.18,566.85,0.42,99.70976253298153
18,RBLBANK,AXISBANK,0.0000,0.42,0.74,301.65,-1.68,61.529831718510955
19,AXISBANK,SBIN,0.0000,0.58,0.61,374.00,1.19,65.78715919085312
20,AXISBANK,YESBANK,0.0000,-0.03,0.08,557.68,0.47,98.09674582233947
21,HDFCBANK,BANKBARODA,0.0000,-4.75,0.44,2599.64,-1.41,132.2770060550552
22,ICICIBANK,BANKBARODA,0.0000,0.53,0.44,223.97,1.70,72.88317604946306
23,BANKBARODA,IDFCBANK,0.0000,1.77,0.37,58.05,-1.72,58.57719475277498
24,INDUSINDBK,BANKBARODA,0.0000,-4.78,0.44,2448.27,-3.09,152.31716800945657
25,KOTAKBANK,BANKBARODA,0.0000,-4.58,0.44,1789.88,-2.78,170.10834442121268
26,BANKBARODA,PNB,0.0000,0.38,0.18,100.65,-2.47,101.56407669021192
27,RBLBANK,BANKBARODA,0.0039,-0.28,0.44,567.72,-1.52,115.80214176440592
28,SBIN,BANKBARODA,0.0000,0.95,0.44,141.06,1.31,54.60034836462163
29,BANKBARODA,YESBANK,0.0000,0.01,0.08,143.01,-2.60,144.30877901109992
30,ICICIBANK,HDFCBANK,0.5165,-0.01,0.71,311.90,0.25,101.49690855841196
31,HDFCBANK,IDFCBANK,0.0000,-15.83,0.37,2705.01,-2.19,137.63852846893604
32,HDFCBANK,INDUSINDBK,0.0000,0.90,0.64,325.42,3.35,16.558286266727727
33,HDFCBANK,KOTAKBANK,0.0000,1.01,0.46,774.59,2.27,39.41332112145729
34,HDFCBANK,PNB,0.0000,-2.48,0.18,2205.57,-0.76,112.22561441001376
35,RBLBANK,HDFCBANK,0.0000,0.10,0.71,333.16,-1.45,67.95716471188169
36,HDFCBANK,SBIN,0.0018,-0.98,0.61,2168.67,0.34,110.34803846740955
37,HDFCBANK,YESBANK,0.0000,-0.16,0.08,2000.59,-0.01,101.79565460743908
38,ICICIBANK,IDFCBANK,0.0001,0.59,0.37,272.19,0.71,88.57468272046859
39,ICICIBANK,INDUSINDBK,0.0011,-0.02,0.64,345.14,0.08,112.3136999674585
40,ICICIBANK,KOTAKBANK,0.0016,-0.03,0.46,331.87,0.17,107.99544419134396
41,ICICIBANK,PNB,0.0000,0.17,0.18,281.37,0.78,91.5619915392125
42,RBLBANK,ICICIBANK,0.0029,0.26,0.80,448.07,-1.13,91.39622641509433
43,ICICIBANK,SBIN,0.0000,0.55,0.61,147.26,1.16,47.920598763423364
44,ICICIBANK,YESBANK,0.2555,-0.00,0.08,303.89,0.19,98.89033517735112
45,INDUSINDBK,IDFCBANK,0.0000,-14.91,0.37,2502.31,-3.83,155.6792235667403
46,KOTAKBANK,IDFCBANK,0.0000,-15.24,0.37,1890.01,-4.57,179.6245960843946
47,IDFCBANK,PNB,0.0000,0.16,0.18,30.87,-1.45,87.32673267326733
48,RBLBANK,IDFCBANK,0.0000,-1.26,0.37,590.35,-1.75,120.41815400305967
49,SBIN,IDFCBANK,0.0000,1.27,0.37,216.84,-0.14,83.93264950648344
50,IDFCBANK,YESBANK,0.0000,0.01,0.08,46.76,-2.00,132.27722772277227
51,INDUSINDBK,KOTAKBANK,0.0000,1.02,0.46,604.61,-1.22,37.615329579743054
52,INDUSINDBK,PNB,0.0000,-2.67,0.18,2074.54,-2.85,129.06585373440757
53,RBLBANK,INDUSINDBK,0.0000,0.10,0.64,355.60,-0.77,72.53442121366649
54,INDUSINDBK,SBIN,0.0000,-1.80,0.61,2245.52,-1.23,139.70323824929233
55,INDUSINDBK,YESBANK,0.0000,-0.14,0.08,1829.00,-1.55,113.78977820636452
56,KOTAKBANK,PNB,0.0000,-2.66,0.18,1443.27,-2.73,137.16688842425393
57,RBLBANK,KOTAKBANK,0.0000,0.13,0.46,385.03,-1.00,78.53748087710352
58,SBIN,KOTAKBANK,0.0000,-0.06,0.46,348.70,-1.14,134.9719372943681
59,KOTAKBANK,YESBANK,0.0000,-0.12,0.08,1187.00,-0.97,112.81125261357155
60,RBLBANK,PNB,0.0000,-0.26,0.18,558.12,-1.63,113.84395716471188
61,SBIN,PNB,0.0000,0.43,0.18,228.10,0.16,88.29107799496806
62,PNB,YESBANK,0.0000,0.02,0.08,112.18,-1.41,175.6930305403289
63,RBLBANK,SBIN,0.0002,0.27,0.61,449.94,-0.90,91.77766445690973
64,RBLBANK,YESBANK,0.8120,0.00,0.08,525.40,-1.07,107.16981132075472
65,SBIN,YESBANK,0.1568,0.00,0.08,279.65,-0.88,108.24462937874974
