Date,CME_YM2,CME_CL18,CME_NQ2,CME_ES2,CME_GC2
2017-11-21,52.84,52.84,6396.0,2597.5,1286.2
2017-11-22,53.36,53.36,6406.25,2595.75,1296.8
2017-11-24,53.83,53.83,6430.0,2602.0,1291.8
2017-11-27,53.94,53.94,6430.0,2603.25,1298.9
2017-11-28,53.95,53.95,6437.0,2627.5,1299.2
2017-11-29,53.55,53.55,6323.0,2627.0,1286.2
2017-11-30,53.56,53.56,6387.0,2650.0,1276.7
2017-12-01,53.93,53.93,6364.0,2646.0,1282.3
2017-12-04,53.6,53.6,6283.5,2640.5,1277.7
2017-12-05,53.97,53.97,6290.25,2630.5,1264.9
2017-12-06,53.21,53.21,6311.75,2632.0,1266.1
2017-12-07,53.76,53.76,6341.75,2642.25,1253.1
2017-12-08,54.16,54.16,6358.5,2654.0,1248.4
2017-12-11,54.37,54.37,6416.0,2664.5,1246.9
2017-12-12,53.64,53.64,6403.0,2667.75,1241.7
2017-12-13,52.85,52.85,6417.25,2669.0,1248.6
2017-12-14,53.41,53.41,6409.0,2656.0,1257.1
2017-12-15,53.52,53.52,6498.5,2682.0,1257.5
2017-12-18,53.99,53.99,6553.0,2696.0,1265.5
2017-12-19,54.37,54.37,6519.5,2685.75,1264.2
2017-12-20,54.3,54.3,6508.25,2683.5,1269.6
2017-12-21,54.51,54.51,6510.5,2689.5,1270.6
2017-12-22,54.83,54.83,6501.75,2688.0,1278.8
2017-12-26,55.64,55.64,6478.5,2689.0,1287.5
2017-12-27,55.61,55.61,6473.5,2687.25,1291.4
2017-12-28,55.72,55.72,6464.75,2687.5,1297.2
2017-12-29,55.98,55.98,6427.75,2678.0,1311.4
2018-01-02,56.09,56.09,6533.75,2695.0,1318.3
2018-01-03,56.53,56.53,6603.25,2713.0,1320.8
2018-01-04,56.57,56.57,6622.25,2726.25,1323.9
2018-01-05,56.75,56.75,6686.75,2745.25,1324.5
2018-01-08,57.1,57.1,6707.25,2749.25,1322.7
2018-01-09,57.68,57.68,6707.25,2755.0,1315.9
2018-01-10,57.67,57.67,6698.75,2753.25,1321.6
2018-01-11,57.77,57.77,6748.5,2772.25,1324.7
2018-01-12,58.09,58.09,6796.25,2791.75,1337.2
2018-01-16,57.97,57.97,6784.25,2786.0,1339.3
2018-01-17,58.2,58.2,6846.5,2807.5,1341.4
2018-01-18,58.25,58.25,6836.0,2800.0,1329.5
2018-01-19,57.96,57.96,6868.75,2815.0,1335.3
2018-01-22,58.16,58.16,6954.5,2839.75,1334.3
2018-01-23,58.33,58.33,6990.75,2844.25,1339.0
2018-01-24,58.34,58.34,6956.75,2845.25,1358.7
2018-01-25,58.52,58.52,6956.5,2845.5,1365.2
2018-01-26,58.72,58.72,7054.25,2879.0,1354.4
2018-01-29,58.29,58.29,7017.5,2858.25,1342.2
