Date,CME_YM2,CME_CL18,CME_NQ2,CME_ES2,CME_GC2
2018-01-30,57.58,57.58,6966.5,2829.25,1337.2
2018-01-31,57.74,57.74,6987.75,2830.25,1340.4
2018-02-01,58.11,58.11,6923.5,2827.0,1345.0
2018-02-02,57.26,57.26,6780.75,2761.0,1334.6
2018-02-05,56.82,56.82,6455.5,2611.0,1333.8
2018-02-06,56.29,56.29,6674.75,2698.0,1326.9
2018-02-07,55.19,55.19,6577.5,2671.5,1312.2
2018-02-08,54.9,54.9,6337.75,2596.0,1316.5
2018-02-09,53.42,53.42,6437.5,2621.75,1313.3
2018-02-12,53.56,53.56,6554.25,2658.25,1324.0
2018-02-13,53.9,53.9,6583.0,2664.75,1328.0
2018-02-14,54.61,54.61,6709.75,2700.5,1355.6
2018-02-15,54.54,54.54,6839.5,2737.75,1352.9
2018-02-16,55.01,55.01,6811.25,2739.0,1353.7
2018-02-20,55.67,55.67,6815.0,2718.25,1328.9
2018-02-21,55.51,55.51,6785.25,2703.0,1329.8
2018-02-22,55.98,55.98,6813.75,2715.75,1330.4
2018-02-23,56.78,56.78,6935.0,2753.25,1327.9
2018-02-26,57.23,57.23,7026.5,2789.5,1330.3
2018-02-27,56.65,56.65,6942.75,2752.75,1318.6
2018-02-28,55.1,55.1,6893.25,2719.5,1317.9
2018-03-01,54.76,54.76,6787.75,2683.0,1305.2
2018-03-02,55.15,55.15,6830.25,2694.75,1323.4
2018-03-05,56.0,56.0,6903.75,2723.0,1319.9
2018-03-06,56.04,56.04,6933.75,2729.0,1335.2
2018-03-07,55.12,55.12,6949.75,2728.25,1327.6
2018-03-08,54.88,54.88,7000.25,2744.25,1321.7
2018-03-09,56.09,56.09,7124.25,2788.75,1324.0
2018-03-12,56.01,56.01,7165.75,2789.0,1320.8
2018-03-13,55.81,55.81,7083.25,2772.75,1327.1
2018-03-14,56.08,56.08,7058.0,2754.0,1325.6
2018-03-15,56.05,56.05,7070.5,2755.5,1317.8
2018-03-16,56.44,56.44,7044.0,2756.0,1312.3
2018-03-19,56.13,56.13,6949.5,2729.25,1317.8
2018-03-20,56.81,56.81,6952.5,2730.25,1311.9
2018-03-21,57.64,57.64,6917.75,2724.75,1321.5
2018-03-22,57.41,57.41,6725.5,2648.5,1327.4
2018-03-23,58.24,58.24,6586.75,2602.5,1349.9
2018-03-26,58.07,58.07,6805.75,2664.5,1355.0
2018-03-27,58.22,58.22,6592.75,2620.25,1342.0
2018-03-28,57.78,57.78,6508.5,2612.25,1326.9
2018-03-29,57.91,57.91,6627.0,2647.75,1324.3
2018-04-02,56.64,56.64,6423.75,2579.0,1343.9
2018-04-03,57.24,57.24,6498.0,2617.25,1334.2
2018-04-04,57.24,57.24,6610.0,2651.0,1337.1
2018-04-05,57.61,57.61,6627.5,2666.0,1325.5
2018-04-06,56.62,56.62,6481.5,2610.0,1333.1
2018-04-09,57.38,57.38,6523.5,2623.0,1337.1
2018-04-10,58.14,58.14,6650.25,2659.25,1342.9
2018-04-11,58.91,58.91,6618.75,2645.25,1356.9
2018-04-12,58.73,58.73,6696.75,2668.25,1338.7
2018-04-13,58.94,58.94,6666.75,2661.75,1344.7
2018-04-16,58.61,58.61,6738.25,2686.25,1347.5
2018-04-17,58.87,58.87,6855.25,2711.25,1346.3
2018-04-18,59.64,59.64,6870.0,2714.5,1350.2
2018-04-19,59.9,59.9,6806.25,2698.0,1345.4
2018-04-20,60.01,60.01,6702.75,2676.5,1334.9
2018-04-23,59.93,59.93,6693.0,2676.0,1320.6
2018-04-24,59.25,59.25,6552.5,2639.5,1329.7
2018-04-25,59.47,59.47,6580.75,2649.25,1319.5
2018-04-26,59.59,59.59,6759.0,2679.0,1314.6
2018-04-27,59.43,59.43,6693.75,2675.75,1323.4
2018-04-30,59.85,59.85,6636.5,2651.5,1319.2
2018-05-01,59.15,59.15,6715.25,2656.5,1306.8
2018-05-02,59.33,59.33,6657.25,2631.75,1305.6
2018-05-03,59.75,59.75,6688.25,2636.0,1312.7
2018-05-04,60.97,60.97,6798.75,2667.5,1314.7
2018-05-07,61.83,61.83,6851.0,2674.25,1314.1
2018-05-08,60.76,60.76,6845.5,2674.25,1313.7
2018-05-09,62.34,62.34,6920.75,2700.25,1313.0
2018-05-10,62.83,62.83,6990.0,2722.75,1322.3
2018-05-11,62.82,62.82,6985.0,2733.5,1320.7
2018-05-14,63.16,63.16,6999.0,2735.25,1318.2
2018-05-15,63.41,63.41,6915.25,2713.25,1290.3
2018-05-16,63.56,63.56,6962.25,2727.5,1291.5
2018-05-17,63.79,63.79,6931.0,2723.5,1289.4
2018-05-18,63.83,63.83,6899.0,2717.75,1291.3
2018-05-21,64.71,64.71,6940.75,2737.75,1290.9
2018-05-22,64.58,64.58,6934.25,2731.0,1292.0
2018-05-23,64.18,64.18,6982.0,2735.5,1289.6
2018-05-24,63.54,63.54,6982.25,2732.0,1304.4
2018-05-25,61.61,61.61,6985.0,2722.75,1303.7
2018-05-29,60.95,60.95,6969.25,2696.5,
2018-05-30,61.7,61.7,7012.0,2729.0,1306.5
2018-05-31,61.22,61.22,7001.5,2709.75,1304.7
2018-06-01,61.19,61.19,7108.0,2738.25,1299.3
2018-06-04,60.66,60.66,7173.25,2749.75,1297.3
2018-06-05,60.93,60.93,7203.25,2755.5,1302.2
2018-06-06,60.73,60.73,7239.0,2776.0,1301.4
2018-06-07,61.45,61.45,7184.75,2776.0,1303.0
2018-06-08,61.49,61.49,7176.5,2782.5,1302.7
2018-06-11,61.77,61.77,7196.0,2786.75,1303.2
2018-06-12,61.76,61.76,7226.25,2788.25,1299.4
2018-06-13,62.46,62.46,7231.0,2779.0,1301.3
2018-06-14,62.03,62.03,7311.25,2788.5,1308.3
2018-06-15,60.27,60.27,7281.5,2784.5,1278.5
2018-06-18,60.95,60.95,7304.5,2784.0,1280.1
2018-06-19,60.54,60.54,7280.5,2770.0,1278.6
2018-06-20,60.59,60.59,7341.5,2776.0,1274.5
2018-06-21,59.63,59.63,7265.5,2756.25,1270.5
2018-06-22,61.4,61.4,7250.0,2763.25,1270.7
2018-06-25,61.35,61.35,7099.0,2725.5,1268.9
2018-06-26,62.64,62.64,7129.0,2732.0,1259.9
2018-06-27,63.25,63.25,7023.25,2708.0,1256.1
2018-06-28,63.05,63.05,7085.0,2722.5,1256.7
2018-06-29,63.24,63.24,7091.25,2725.0,1260.2
2018-07-02,62.26,62.26,7141.0,2730.5,1247.1
2018-07-03,62.15,62.15,7048.0,2716.75,1259.0
2018-07-05,62.65,62.65,7150.0,2742.25,1264.2
2018-07-06,63.12,63.12,7258.0,2766.5,1261.4
2018-07-09,63.63,63.63,7325.75,2791.25,1265.3
2018-07-10,63.92,63.92,7326.5,2800.5,1261.1
2018-07-11,61.2,61.2,7278.75,2777.75,1250.0
2018-07-12,62.24,62.24,7407.25,2802.25,1252.0
2018-07-13,62.67,62.67,7417.25,2807.0,1246.4
2018-07-16,60.5,60.5,7350.75,2800.5,1244.8
2018-07-17,60.76,60.76,7448.25,2815.25,1232.3
2018-07-18,61.44,61.44,7431.25,2820.0,1232.9
2018-07-19,61.56,61.56,7394.5,2809.25,1228.7
2018-07-20,61.81,61.81,7386.25,2804.5,1235.5
2018-07-23,62.21,62.21,7455.75,2816.0,1229.7
2018-07-24,62.61,62.61,7441.5,2825.0,1230.0
2018-07-25,63.2,63.2,7494.5,2845.5,1236.4
2018-07-26,63.58,63.58,7457.25,2846.5,1230.5
2018-07-27,62.96,62.96,7326.75,2821.5,1227.8
2018-07-30,63.55,63.55,7225.5,2807.25,1226.4
2018-07-31,62.73,62.73,7269.5,2821.25,1228.5
2018-08-01,61.6,61.6,7301.25,2815.0,1222.4
2018-08-02,62.13,62.13,7410.0,2832.5,1214.9
2018-08-03,62.08,62.08,7426.5,2843.75,1218.1
2018-08-06,62.52,62.52,7468.0,2854.25,1212.6
2018-08-07,63.24,63.24,7501.5,2864.0,1213.3
2018-08-08,61.63,61.63,7495.5,2859.5,1216.2
2018-08-09,61.83,61.83,7499.5,2858.0,1215.1
2018-08-10,62.17,62.17,7451.25,2840.75,1214.2
2018-08-13,61.76,61.76,7442.0,2829.5,1194.2
2018-08-14,61.88,61.88,7483.0,2845.0,1196.1
2018-08-15,60.63,60.63,7398.75,2825.0,1180.5
2018-08-16,61.01,61.01,7414.0,2848.75,1179.6
2018-08-17,61.22,61.22,7412.75,2856.25,1179.8
2018-08-20,61.33,61.33,7412.0,2862.75,1190.2
2018-08-21,61.55,61.55,7422.75,2865.75,1195.5
2018-08-22,62.85,62.85,7458.25,2865.25,1198.7
2018-08-23,62.9,62.9,7449.75,2862.0,1189.3
2018-08-24,63.48,63.48,7521.0,2881.0,1208.6
2018-08-27,63.6,63.6,7593.75,2902.75,1211.2
2018-08-28,63.53,63.53,7604.0,2903.5,1209.5
2018-08-29,64.16,64.16,7696.0,2919.0,1206.5
2018-08-30,64.67,64.67,7676.0,2906.5,1205.0
2018-08-31,64.37,64.37,7688.5,2906.5,1206.7
2018-09-04,64.65,64.65,7666.75,2903.0,1199.1
2018-09-05,63.99,63.99,7559.5,2893.0,1201.3
2018-09-06,63.36,63.36,7485.5,2883.75,1204.3
2018-09-07,63.51,63.51,7465.75,2879.25,1200.4
2018-09-10,63.72,63.72,7487.75,2885.0,1199.8
2018-09-11,64.91,64.91,7539.25,2894.5,1202.2
2018-09-12,65.87,65.87,7513.75,2893.5,1210.9
2018-09-13,64.73,64.73,7593.0,2910.25,1208.2
2018-09-14,65.06,65.06,7573.5,2911.5,1201.1
