,CL,GC,QM,NG,QG
2018-07-06,73.8,1255.8,73.8,2.858,2.858
2018-07-09,73.476,1260.24,73.476,2.8216,2.8216
2018-07-10,73.49000000000002,1256.72,73.49000000000002,2.7760000000000002,2.7760000000000002
2018-07-11,69.46799999999999,1246.2,69.46799999999999,2.8098,2.8098
2018-07-12,69.54599999999999,1248.6,69.54599999999999,2.7722,2.7722
2018-07-13,69.95,1243.8,69.95,2.7239999999999998,2.7239999999999998
2018-07-16,67.07,1242.2,67.07,2.73,2.73
2018-07-17,67.16,1229.9,67.16,2.707,2.707
2018-07-18,67.75,1230.5,67.75,2.6889999999999996,2.6889999999999996
2018-07-19,68.24,1226.5,68.24,2.736,2.736
2018-07-20,68.26,1233.6,68.26,2.728,2.728
2018-07-23,67.89,1228.0,67.89,2.695,2.695
2018-07-24,68.52,1228.2,68.52,2.719,2.719
2018-07-25,69.3,1234.5,69.3,2.755,2.755
2018-07-26,69.61,1228.6,69.61,2.762,2.762
2018-07-27,68.69,1226.5,68.69,2.782,2.782
2018-07-30,70.13,1224.2,70.13,2.7969999999999997,2.7969999999999997
2018-07-31,68.76,1226.4,68.76,2.782,2.782
2018-08-01,67.66,1220.3,67.66,2.758,2.758
2018-08-02,68.96,1212.9,68.96,2.8160000000000003,2.8160000000000003
2018-08-03,68.49,1215.9,68.49,2.853,2.853
2018-08-06,69.01,1210.6,69.01,2.86,2.86
2018-08-07,69.17,1211.2,69.17,2.897,2.897
2018-08-08,66.80199999999999,1214.6,66.80199999999999,2.9502,2.9502
2018-08-09,66.542,1213.84,66.542,2.9566,2.9566
2018-08-10,67.21600000000001,1213.36,67.21600000000001,2.947,2.947
2018-08-13,66.696,1193.8000000000004,66.696,2.9348,2.9348
2018-08-14,66.33,1196.1,66.33,2.966,2.966
2018-08-15,64.46,1180.5,64.46,2.948,2.948
2018-08-16,64.88,1179.6,64.88,2.9130000000000003,2.9130000000000003
2018-08-17,65.21,1179.8,65.21,2.949,2.949
2018-08-20,65.42,1190.2,65.42,2.932,2.932
2018-08-21,65.84,1195.5,65.84,2.964,2.964
2018-08-22,67.86,1198.7,67.86,2.944,2.944
2018-08-23,67.83,1189.3,67.83,2.9530000000000003,2.9530000000000003
2018-08-24,68.72,1208.6,68.72,2.9130000000000003,2.9130000000000003
2018-08-27,68.87,1211.2,68.87,2.8689999999999998,2.8689999999999998
2018-08-28,68.53,1209.5,68.53,2.845,2.845
2018-08-29,69.51,1206.5,69.51,2.863,2.863
2018-08-30,70.25,1200.0,70.25,2.8739999999999997,2.8739999999999997
2018-08-31,69.8,1201.6,69.8,2.9160000000000004,2.9160000000000004
2018-09-04,69.87,1194.0,69.87,2.823,2.823
2018-09-05,68.72,1196.1,68.72,2.795,2.795
2018-09-06,67.77,1199.0,67.77,2.772,2.772
2018-09-07,67.75,1195.1,67.75,2.7760000000000002,2.7760000000000002
2018-09-10,67.51400000000001,1195.04,67.51400000000001,2.8048,2.8048
2018-09-11,69.166,1197.88,69.166,2.8276,2.8276
2018-09-12,70.244,1207.12,70.244,2.8236,2.8236
2018-09-13,68.446,1204.96,68.446,2.8034,2.8034
2018-09-14,68.77,1198.6,68.77,2.7510000000000003,2.7510000000000003
