Date,Settle
2018-07-06,73.8
2018-07-09,73.476
2018-07-10,73.49000000000001
2018-07-11,69.46799999999999
2018-07-12,69.54599999999999
2018-07-13,69.95
2018-07-16,67.07
2018-07-17,67.16
2018-07-18,67.75
2018-07-19,68.24
2018-07-20,68.26
2018-07-23,67.89
2018-07-24,68.52
2018-07-25,69.3
2018-07-26,69.61
2018-07-27,68.69
2018-07-30,70.13
2018-07-31,68.76
2018-08-01,67.66
2018-08-02,68.96
2018-08-03,68.49
2018-08-06,69.01
2018-08-07,69.17
2018-08-08,66.80199999999999
2018-08-09,66.542
2018-08-10,67.216
2018-08-13,66.696
2018-08-14,66.33
2018-08-15,64.46
2018-08-16,64.88
2018-08-17,65.21
2018-08-20,65.42
2018-08-21,65.84
2018-08-22,67.86
2018-08-23,67.83
2018-08-24,68.72
2018-08-27,68.87
2018-08-28,68.53
2018-08-29,69.51
2018-08-30,70.25
2018-08-31,69.8
2018-09-04,69.87
2018-09-05,68.72
2018-09-06,67.77
2018-09-07,67.75
2018-09-10,67.51400000000001
2018-09-11,69.166
2018-09-12,70.244
2018-09-13,68.446
2018-09-14,68.77
