,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error,Alpha:YPrice
31,BOSCHLTD,ASHOKLEY,0.0000,-74.20,0.46,29494.78,-0.55,149.07722556090755
32,EICHERMOT,ASHOKLEY,0.5015,3.97,0.46,28845.59,-2.77,116.55019293319057
33,EXIDEIND,ASHOKLEY,0.0000,0.57,0.46,160.21,1.33,60.95111280197831
34,HEROMOTOCO,ASHOKLEY,0.0122,-1.92,0.46,3854.40,-3.06,129.6468213925328
35,MRF,ASHOKLEY,0.0000,164.38,0.46,49850.84,-1.69,79.09611404245732
36,ASHOKLEY,M&M,0.0000,-0.04,0.23,168.17,-1.23,139.96670828131502
37,MARUTI,ASHOKLEY,0.0000,19.53,0.46,6127.53,-1.71,82.09500331593861
38,MOTHERSUMI,ASHOKLEY,0.0032,-0.36,0.46,378.14,-2.57,151.98553054662378
39,TVSMOTOR,ASHOKLEY,0.2396,0.29,0.46,595.27,-1.00,106.04257593301861
40,ASHOKLEY,TATAMTRDVR,0.0000,-0.16,0.29,160.24,-1.42,133.3666250520183
41,ASHOKLEY,TATAMOTORS,0.0000,-0.10,0.31,161.31,-1.33,134.25717852684144
42,BAJAJ-AUTO,BHARATFORG,0.0049,-0.16,0.23,3090.35,-1.27,113.1954873447859
43,BAJAJ-AUTO,BOSCHLTD,0.5784,-0.00,0.61,3030.82,-1.13,111.01498113622212
44,EICHERMOT,BAJAJ-AUTO,0.0005,1.56,0.82,24724.03,-2.62,99.89708883007738
45,BAJAJ-AUTO,EXIDEIND,0.0000,-4.31,0.49,3963.49,-0.59,145.17746602688547
46,HEROMOTOCO,BAJAJ-AUTO,0.0000,0.36,0.82,2555.94,-2.75,85.97174571140262
47,MRF,BAJAJ-AUTO,0.0000,-7.99,0.82,94357.89,-2.18,149.71347379995288
48,BAJAJ-AUTO,M&M,0.0092,0.11,0.23,2843.61,-1.03,104.1577231603238
49,BAJAJ-AUTO,MARUTI,0.0014,0.06,0.73,2485.40,-0.84,91.03695835317387
50,BAJAJ-AUTO,MOTHERSUMI,0.0000,3.39,0.55,1832.49,0.32,67.12171715321783
51,BAJAJ-AUTO,TVSMOTOR,0.0000,2.57,0.52,1337.88,-0.48,49.00479835903447
52,BAJAJ-AUTO,TATAMTRDVR,0.0000,2.55,0.29,2437.63,-0.09,89.28720559686458
53,BAJAJ-AUTO,TATAMOTORS,0.0000,1.76,0.31,2328.32,-0.01,85.28332295520312
54,BOSCHLTD,BHARATFORG,0.0000,7.25,0.23,14404.60,0.70,72.80602884017608
55,EICHERMOT,BHARATFORG,0.0000,2.78,0.23,27172.45,-2.67,109.78989474534839
56,EXIDEIND,BHARATFORG,0.0000,-0.06,0.23,278.32,0.86,105.8854860186418
57,HEROMOTOCO,BHARATFORG,0.0000,0.67,0.23,3089.56,-3.14,103.92061890346451
58,MRF,BHARATFORG,0.0000,-10.63,0.23,79024.95,-2.24,125.3853788100559
59,BHARATFORG,M&M,0.0000,0.38,0.23,384.44,-0.48,61.45631843977301
60,MARUTI,BHARATFORG,0.0000,-2.15,0.23,10289.77,-2.89,137.8595783733814
61,MOTHERSUMI,BHARATFORG,0.0050,0.03,0.23,311.44,-2.37,125.17684887459806
62,TVSMOTOR,BHARATFORG,0.0194,-0.05,0.23,668.07,-1.14,119.0113120156765
63,TATAMTRDVR,BHARATFORG,0.0000,0.12,0.23,113.59,-1.94,93.91484084332369
64,TATAMOTORS,BHARATFORG,0.0000,0.18,0.23,221.44,-1.78,96.5511227381731
65,EICHERMOT,BOSCHLTD,0.0000,0.27,0.61,23870.29,-2.87,96.44756459726459
66,BOSCHLTD,EXIDEIND,0.0000,-26.70,0.49,26288.42,0.30,132.87112899231232
67,HEROMOTOCO,BOSCHLTD,0.0000,0.05,0.61,2590.86,-3.23,87.14631685166499
68,MRF,BOSCHLTD,0.0000,-1.39,0.61,98611.32,-2.08,156.46220229382797
69,BOSCHLTD,M&M,0.0000,4.75,0.23,15110.22,0.47,76.37248608787509
70,MARUTI,BOSCHLTD,0.0000,-0.25,0.61,13715.75,-2.62,183.75993944225243
71,BOSCHLTD,MOTHERSUMI,0.0000,14.55,0.55,15242.81,0.51,77.042643632265
72,BOSCHLTD,TVSMOTOR,0.5422,-0.93,0.52,20676.37,-0.20,104.50580998640376
73,BOSCHLTD,TATAMTRDVR,0.0000,28.60,0.29,14210.76,1.46,71.82629176796445
74,BOSCHLTD,TATAMOTORS,0.0000,17.20,0.31,13901.05,1.32,70.26090604450869
75,EICHERMOT,EXIDEIND,0.0000,-20.85,0.49,34192.87,-2.55,138.15580112729552
76,EICHERMOT,HEROMOTOCO,0.0000,5.10,0.95,10942.90,-1.09,44.21463059859795
77,EICHERMOT,MRF,0.0000,-0.10,0.86,36703.17,-3.42,148.29863229560192
78,EICHERMOT,M&M,0.0000,3.04,0.23,26167.60,-2.77,105.72981272348936
79,EICHERMOT,MARUTI,0.0000,-0.75,0.73,35837.00,-3.47,144.7988848259561
80,EICHERMOT,MOTHERSUMI,0.0001,10.67,0.55,25798.29,-2.30,104.23762096203964
81,EICHERMOT,TVSMOTOR,0.0000,6.63,0.52,25160.69,-2.60,101.6614073011576
82,EICHERMOT,TATAMTRDVR,0.0000,14.87,0.29,26294.67,-2.18,106.2432372371159
83,EICHERMOT,TATAMOTORS,0.0000,9.51,0.31,25927.36,-2.21,104.75912644699893
84,HEROMOTOCO,EXIDEIND,0.0000,-5.32,0.49,4847.20,-3.00,163.04069963000336
85,MRF,EXIDEIND,0.0000,113.20,0.49,44395.29,-3.17,70.4400351285548
86,EXIDEIND,M&M,0.0000,-0.05,0.23,281.98,0.87,107.27791516073806
87,MARUTI,EXIDEIND,0.0000,10.57,0.49,6148.08,-2.44,82.37032670368907
88,MOTHERSUMI,EXIDEIND,0.0000,-0.65,0.49,483.83,-2.20,194.46543408360128
89,TVSMOTOR,EXIDEIND,0.0000,-1.54,0.49,989.54,-0.43,176.27861405540216
90,EXIDEIND,TATAMTRDVR,0.0000,-0.54,0.29,343.55,-0.97,130.70192124785999
91,EXIDEIND,TATAMOTORS,0.0000,-0.34,0.31,355.35,-0.96,135.19117367319762
92,HEROMOTOCO,MRF,0.0000,-0.02,0.86,4789.02,-3.83,161.08375378405654
93,HEROMOTOCO,M&M,0.0000,0.33,0.23,3270.01,-2.92,109.99024554322233
94,HEROMOTOCO,MARUTI,0.0000,-0.12,0.73,4656.05,-3.90,156.61116717120754
95,HEROMOTOCO,MOTHERSUMI,0.0000,2.87,0.55,2655.96,-2.08,89.33602421796165
96,HEROMOTOCO,TVSMOTOR,0.0000,1.15,0.52,2886.85,-2.79,97.10225361587622
97,HEROMOTOCO,TATAMTRDVR,0.0000,3.89,0.29,2812.73,-2.16,94.60914900773629
98,HEROMOTOCO,TATAMOTORS,0.0000,2.29,0.31,2787.68,-2.27,93.7665657584931
99,MRF,M&M,0.0000,-11.10,0.23,82324.86,-2.74,130.62119946402774
100,MRF,MARUTI,0.0000,4.70,0.73,30235.56,-0.67,47.97342034552599
101,MRF,MOTHERSUMI,0.0013,-24.75,0.55,78929.64,-2.12,125.23415466560043
102,MRF,TVSMOTOR,0.0000,-18.97,0.52,82680.66,-2.01,131.18573152359397
103,MRF,TATAMTRDVR,0.0000,-57.17,0.29,82437.24,-3.10,130.79950781943543
104,MRF,TATAMOTORS,0.0000,-37.92,0.31,84333.04,-3.22,133.80748949039003
105,MARUTI,M&M,0.0000,-1.71,0.23,10399.74,-3.07,139.33292693546983
106,MOTHERSUMI,M&M,0.0000,0.03,0.23,301.81,-2.35,121.30627009646302
107,TVSMOTOR,M&M,0.2080,0.02,0.23,612.75,-0.97,109.15649772868976
108,TATAMTRDVR,M&M,0.0000,0.08,0.23,117.25,-1.96,96.94088466308392
109,TATAMOTORS,M&M,0.0000,0.14,0.23,216.77,-1.83,94.51493350773927
110,MARUTI,MOTHERSUMI,0.9636,-0.05,0.55,8620.00,-1.72,115.48844780578648
111,MARUTI,TVSMOTOR,0.0000,2.19,0.52,7216.86,-1.52,96.6895544584302
112,MARUTI,TATAMTRDVR,0.0000,-7.17,0.29,10075.13,-2.93,134.98388922755376
113,MARUTI,TATAMOTORS,0.0000,-4.08,0.31,10071.00,-2.76,134.9285565953684
114,MOTHERSUMI,TVSMOTOR,0.0000,0.30,0.52,140.55,-2.33,56.4911575562701
115,MOTHERSUMI,TATAMTRDVR,0.0000,0.57,0.29,214.93,-1.45,86.38665594855306
116,MOTHERSUMI,TATAMOTORS,0.0000,0.36,0.31,204.82,-1.55,82.32315112540192
117,TVSMOTOR,TATAMTRDVR,0.0000,0.90,0.29,447.45,0.09,79.70962857397345
118,TVSMOTOR,TATAMOTORS,0.0000,0.62,0.31,407.98,0.19,72.67836465663133
119,TATAMOTORS,TATAMTRDVR,0.0000,1.61,0.29,28.19,0.59,12.291257902768695
