,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error,Alpha:YPrice
0,AMARAJABAT,APOLLOTYRE,0.0000,1.47,0.88,413.37,0.47,55.463571716087486
1,AMARAJABAT,ASHOKLEY,0.0291,0.37,0.46,751.28,-1.07,100.80236146518182
2,AMARAJABAT,BAJAJ-AUTO,0.0000,-0.06,0.82,984.57,-1.48,132.10385079833625
3,AMARAJABAT,BHARATFORG,0.0011,0.04,0.23,763.55,-0.98,102.44867838454314
4,AMARAJABAT,BOSCHLTD,0.4688,0.00,0.61,777.10,-1.11,104.26673822621764
5,EICHERMOT,AMARAJABAT,0.0000,-9.92,0.95,37261.72,-3.23,150.55544556455686
6,AMARAJABAT,EXIDEIND,0.0000,0.61,0.49,656.77,-1.61,88.1215617871998
7,AMARAJABAT,HEROMOTOCO,0.0785,-0.02,0.95,876.97,-1.41,117.66671139138603
8,AMARAJABAT,MRF,0.0000,0.01,0.86,428.07,-0.31,57.43593183952771
9,AMARAJABAT,M&M,0.0000,-0.06,0.23,857.70,-1.43,115.08117536562459
10,AMARAJABAT,MARUTI,0.0000,0.02,0.73,619.91,-0.64,83.17590232121294
11,AMARAJABAT,MOTHERSUMI,0.0613,0.15,0.55,749.15,-0.86,100.51657050852006
12,AMARAJABAT,TVSMOTOR,0.0074,-0.10,0.52,863.36,-1.28,115.8406011002281
13,AMARAJABAT,TATAMTRDVR,0.5206,-0.04,0.29,806.53,-1.19,108.2154836978398
14,AMARAJABAT,TATAMOTORS,0.1324,-0.06,0.31,819.48,-1.28,109.95303904468
15,APOLLOTYRE,ASHOKLEY,0.0000,0.54,0.46,193.83,-3.08,90.95729704364149
16,APOLLOTYRE,BAJAJ-AUTO,0.0000,-0.02,0.82,328.61,-3.32,154.20459877991553
17,APOLLOTYRE,BHARATFORG,0.5084,-0.00,0.23,264.20,-2.91,123.97935241670578
18,APOLLOTYRE,BOSCHLTD,0.0000,-0.00,0.61,318.88,-3.09,149.63866729235102
19,EICHERMOT,APOLLOTYRE,0.3837,4.82,0.88,28087.71,-2.65,113.48798965635669
20,APOLLOTYRE,EXIDEIND,0.0000,0.20,0.49,215.63,-3.42,101.18723603941811
21,HEROMOTOCO,APOLLOTYRE,0.0212,1.65,0.88,3179.12,-2.62,106.93306424487051
22,APOLLOTYRE,MRF,0.0000,0.00,0.86,72.96,-2.47,34.23744720788362
23,APOLLOTYRE,M&M,0.0000,-0.03,0.23,295.72,-3.80,138.77053026748007
24,APOLLOTYRE,MARUTI,0.0000,0.01,0.73,153.31,-2.34,71.94274988268418
25,APOLLOTYRE,MOTHERSUMI,0.9816,0.00,0.55,261.48,-2.88,122.70295635851713
26,APOLLOTYRE,TVSMOTOR,0.0237,-0.03,0.52,281.42,-3.03,132.06006569685593
27,APOLLOTYRE,TATAMTRDVR,0.0019,-0.07,0.29,276.38,-3.29,129.69497888315345
28,APOLLOTYRE,TATAMOTORS,0.0001,-0.05,0.31,281.39,-3.38,132.04598779915534
29,BAJAJ-AUTO,ASHOKLEY,0.1502,-1.05,0.46,3095.13,-1.17,113.3705725065016
30,ASHOKLEY,BHARATFORG,0.0000,-0.04,0.23,159.09,-0.97,132.4094881398252
