Date,CME_YM2,CME_CL18,CME_NQ2,CME_ES2,CME_GC2
2017-06-26,21326.0,46.44,5786.75,2434.0,1246.4
2017-06-27,21249.0,47.21,5684.5,2418.75,1246.9
2017-06-28,21360.0,47.7,5771.75,2436.5,1249.1
2017-06-29,21213.0,47.97,5660.25,2418.0,1249.5
2017-06-30,21261.0,48.9,5659.5,2419.0,1246.0
2017-07-03,21393.0,49.83,5595.75,2423.0,1222.9
2017-07-05,21379.0,48.34,5658.25,2426.0,1225.3
2017-07-06,21240.0,48.48,5603.0,2406.5,1226.9
2017-07-07,21329.0,47.32,5662.0,2420.5,1213.3
2017-07-10,21317.0,47.73,5700.25,2422.5,1216.8
2017-07-11,21324.0,48.18,5726.0,2422.25,1218.3
2017-07-12,21436.0,48.12,5792.0,2438.0,1222.7
2017-07-13,21464.0,48.5,5804.0,2443.5,1220.8
2017-07-14,21551.0,48.98,5849.5,2454.0,1231.0
2017-07-17,21539.0,48.68,5861.25,2456.5,1237.2
2017-07-18,21477.0,48.78,5889.25,2455.5,1245.3
2017-07-19,21552.0,49.32,5925.0,2469.25,1245.3
2017-07-20,21536.0,48.92,5932.25,2469.0,1248.7
2017-07-21,21474.0,48.04,5925.5,2467.25,1257.9
2017-07-24,21455.0,48.49,5940.5,2466.25,1257.6
2017-07-25,21516.0,49.51,5940.75,2472.25,1255.4
2017-07-26,21604.0,49.85,5954.75,2471.5,1252.5
2017-07-27,21699.0,49.91,5916.25,2470.0,1263.2
2017-07-28,21732.0,50.05,5917.0,2468.25,1271.9
2017-07-31,21800.0,50.55,5889.25,2466.0,1270.1
2017-08-01,21862.0,49.97,5895.75,2470.25,1276.1
2017-08-02,21915.0,50.21,5917.5,2471.5,1275.1
2017-08-03,21933.0,49.79,5897.0,2469.75,1271.1
2017-08-04,21975.0,50.24,5905.0,2470.0,1261.3
2017-08-07,22022.0,50.2,5940.75,2475.5,1261.4
2017-08-08,21989.0,49.94,5925.0,2470.75,1259.3
2017-08-09,21977.0,50.17,5929.5,2471.0,1276.0
2017-08-10,21795.0,49.19,5797.25,2435.5,1286.7
2017-08-11,21806.0,49.33,5845.75,2438.25,1290.7
2017-08-14,21909.0,48.47,5917.5,2461.5,1287.0
2017-08-15,21934.0,48.45,5919.5,2461.75,1276.3
2017-08-16,21968.0,47.97,5931.0,2465.5,1279.5
2017-08-17,21691.0,48.12,5807.75,2427.5,1289.1
2017-08-18,21638.0,49.38,5809.0,2424.75,1288.3
2017-08-21,21650.0,48.29,5801.5,2426.0,1293.3
2017-08-22,21845.0,48.96,5886.0,2450.75,1287.6
2017-08-23,21752.0,49.51,5855.0,2439.5,1291.3
2017-08-24,21743.0,48.9,5847.75,2438.75,1288.6
2017-08-25,21765.0,49.22,5832.25,2440.5,1294.5
2017-08-28,21749.0,48.56,5852.0,2441.75,1311.8
2017-08-29,21829.0,49.02,5876.25,2445.0,1315.3
