,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error,Alpha:YPrice
0,BANKNIFTY,AXISBANK,0.0000,16.52,0.97,16963.56,-1.94,68.44574815556037
1,BANKNIFTY,BANKBARODA,0.0013,17.03,0.64,23803.41,-0.55,96.04364921652925
2,BANKNIFTY,HDFCBANK,0.0000,9.49,1.55,7123.60,-1.04,28.742795236433256
3,BANKNIFTY,ICICIBANK,0.0000,19.59,0.96,20199.20,-1.43,81.50113278956744
4,BANKNIFTY,IDFCBANK,0.0309,-32.83,0.60,27614.96,-1.46,111.42275545262156
5,BANKNIFTY,INDUSINDBK,0.0000,6.55,1.19,14084.55,0.32,56.82931897457831
6,BANKNIFTY,KOTAKBANK,0.0000,7.05,0.84,17607.17,-0.79,71.04263041202067
7,BANKNIFTY,PNB,0.8451,-0.65,0.28,26196.22,-1.18,105.69832492399314
8,BANKNIFTY,RBLBANK,0.0000,21.52,0.91,14726.77,-1.68,59.42059276265486
9,BANKNIFTY,SBIN,0.0000,39.59,0.95,15399.02,-1.26,62.13303367703695
10,BANKNIFTY,YESBANK,0.0000,19.27,0.61,19760.74,0.47,79.73200397838117
11,AXISBANK,BANKBARODA,0.0079,0.53,0.64,482.68,1.14,83.09890677455454
12,HDFCBANK,AXISBANK,0.0016,0.53,0.97,1709.73,-0.83,88.24185182317876
13,AXISBANK,ICICIBANK,0.0000,1.46,0.96,112.17,0.49,19.31135405009899
14,AXISBANK,IDFCBANK,0.4031,0.48,0.60,533.71,0.70,91.88430748041662
15,INDUSINDBK,AXISBANK,0.9569,0.01,0.97,1834.93,-2.14,115.2196163385765
16,AXISBANK,KOTAKBANK,0.6111,0.02,0.84,536.78,0.62,92.41284324696565
17,AXISBANK,PNB,0.4312,0.10,0.28,546.02,0.66,94.00361539123698
18,AXISBANK,RBLBANK,0.0000,0.59,0.91,243.99,0.91,42.005681329086684
19,AXISBANK,SBIN,0.0000,1.53,0.95,141.44,1.39,24.35052078849961
20,AXISBANK,YESBANK,0.4536,0.06,0.61,535.66,0.71,92.22002238099337
21,HDFCBANK,BANKBARODA,0.0024,-1.36,0.64,2188.65,-1.30,112.95966555701789
22,ICICIBANK,BANKBARODA,0.0000,0.68,0.64,209.95,1.80,67.35643246711582
23,BANKBARODA,IDFCBANK,0.0000,2.23,0.60,36.33,-2.06,38.669505055880784
24,INDUSINDBK,BANKBARODA,0.5895,0.29,0.64,1801.09,-2.03,113.0947223007127
25,KOTAKBANK,BANKBARODA,0.0001,-2.00,0.64,1482.29,-1.73,132.8752633230245
26,BANKBARODA,PNB,0.0000,0.44,0.28,95.51,-2.59,101.66045769026077
27,RBLBANK,BANKBARODA,0.1608,-0.29,0.64,569.10,-0.52,109.51602039834505
28,SBIN,BANKBARODA,0.0000,0.56,0.64,194.57,0.77,74.22086591646004
29,BANKBARODA,YESBANK,0.0000,0.20,0.61,72.01,-1.79,76.64715274081959
30,HDFCBANK,ICICIBANK,0.0512,-0.60,0.96,2184.47,-0.62,112.74392918892414
31,HDFCBANK,IDFCBANK,0.0000,-10.68,0.60,2484.28,-2.25,128.21759438466106
32,HDFCBANK,INDUSINDBK,0.0000,0.65,1.19,812.90,1.53,41.955046321385254
33,HDFCBANK,KOTAKBANK,0.0000,0.80,0.84,1039.73,0.20,53.662099042605355
34,HDFCBANK,PNB,0.0000,-1.58,0.28,2151.83,-1.28,111.05932750122578
35,HDFCBANK,RBLBANK,0.0000,1.72,0.91,1091.85,-0.77,56.35209413950607
36,HDFCBANK,SBIN,0.0000,1.45,0.95,1609.88,-0.57,83.08843642744704
37,HDFCBANK,YESBANK,0.0000,1.25,0.61,1589.41,0.58,82.03194756264355
38,ICICIBANK,IDFCBANK,0.0000,2.01,0.60,212.54,1.37,68.18735964068014
39,INDUSINDBK,ICICIBANK,0.0001,-1.46,0.96,2282.79,-2.12,143.34181030422906
40,ICICIBANK,KOTAKBANK,0.0000,-0.07,0.84,393.08,0.08,126.10843760025666
41,ICICIBANK,PNB,0.0000,0.45,0.28,260.83,1.07,83.67982034007058
42,ICICIBANK,RBLBANK,0.0206,0.09,0.91,253.14,0.41,81.21270452358037
43,ICICIBANK,SBIN,0.0000,0.86,0.95,69.76,1.10,22.380494064805905
44,ICICIBANK,YESBANK,0.7278,0.02,0.61,297.94,0.42,95.58549887712545
45,INDUSINDBK,IDFCBANK,0.0000,-8.08,0.60,2205.44,-3.08,138.48481994285893
46,KOTAKBANK,IDFCBANK,0.0000,-12.59,0.60,1776.67,-2.68,159.26404015956254
47,IDFCBANK,PNB,0.0000,0.18,0.28,27.89,-1.42,79.34566145092461
48,RBLBANK,IDFCBANK,0.0000,-3.06,0.60,667.94,-1.01,128.53651496199365
49,SBIN,IDFCBANK,0.0026,0.85,0.60,233.06,-0.03,88.90329963761206
50,YESBANK,IDFCBANK,0.0599,1.02,0.60,284.66,-1.96,118.5095753538718
51,INDUSINDBK,KOTAKBANK,0.0000,0.92,0.84,727.18,-2.74,45.66136071080971
52,INDUSINDBK,PNB,0.0000,-1.74,0.28,2005.04,-2.81,125.90122759097046
53,INDUSINDBK,RBLBANK,0.0000,1.70,0.91,940.16,-2.59,59.03488116542652
54,INDUSINDBK,SBIN,0.2183,0.50,0.95,1705.18,-2.10,107.07230542212176
55,INDUSINDBK,YESBANK,0.0000,1.92,0.61,1204.69,-0.87,75.64534865467333
56,KOTAKBANK,PNB,0.0000,-2.26,0.28,1422.38,-1.77,127.50481825108692
57,RBLBANK,KOTAKBANK,0.0000,0.29,0.84,180.15,0.54,34.667564707014336
58,SBIN,KOTAKBANK,0.3997,0.01,0.84,255.96,-0.36,97.63875643715431
59,KOTAKBANK,YESBANK,0.0000,1.40,0.61,746.59,0.36,66.9257317018511
60,RBLBANK,PNB,0.0000,-0.66,0.28,591.90,-0.74,113.90358895410372
61,SBIN,PNB,0.0000,0.31,0.28,241.51,0.02,92.12664505054359
62,YESBANK,PNB,0.0106,0.30,0.28,302.28,-2.01,125.8451290591174
63,SBIN,RBLBANK,0.0000,0.24,0.91,145.71,-0.35,55.58268167079917
64,RBLBANK,YESBANK,0.0000,0.44,0.61,383.14,0.75,73.73039545848167
65,SBIN,YESBANK,0.0000,0.17,0.61,214.98,0.31,82.00648483692544
