,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error,Alpha:YPrice
0,AMARAJABAT,APOLLOTYRE,0.0000,0.96,0.96,548.42,-0.84,76.22767391757591
1,AMARAJABAT,ASHOKLEY,0.0000,1.20,0.74,641.71,-1.63,89.19452359441239
2,AMARAJABAT,BAJAJ-AUTO,0.1266,0.03,1.24,732.11,-2.01,101.75967753144762
3,AMARAJABAT,BHARATFORG,0.0000,0.36,0.89,558.20,-1.25,77.58704565987908
4,AMARAJABAT,BOSCHLTD,0.0000,0.01,1.42,571.67,-2.13,79.45930919452358
5,AMARAJABAT,EICHERMOT,0.0000,0.01,1.13,521.05,-0.75,72.42337897004654
6,AMARAJABAT,EXIDEIND,0.0151,0.28,0.76,734.66,-2.27,102.11411494891931
7,AMARAJABAT,HEROMOTOCO,0.0001,0.05,1.13,636.45,-1.53,88.46340954896101
8,AMARAJABAT,MRF,0.0000,0.00,1.34,503.37,-1.30,69.96594620890959
9,AMARAJABAT,M&M,0.1149,0.06,0.79,757.14,-2.06,105.23872402529709
10,AMARAJABAT,MARUTI,0.0000,0.03,1.23,522.60,-0.64,72.63882132184307
11,AMARAJABAT,MOTHERSUMI,0.0000,0.77,0.79,564.09,-0.65,78.40572659670582
12,AMARAJABAT,TVSMOTOR,0.0001,0.21,0.88,676.81,-1.80,94.07325039961081
13,AMARAJABAT,TATAMTRDVR,0.0002,0.34,0.43,745.17,-1.65,103.57495308916533
14,AMARAJABAT,TATAMOTORS,0.0000,0.24,0.46,731.90,-1.54,101.73048856765584
15,APOLLOTYRE,ASHOKLEY,0.0000,0.84,0.74,151.59,-2.29,73.5873786407767
16,BAJAJ-AUTO,APOLLOTYRE,0.0887,1.07,0.96,2583.51,-1.61,102.28482065088289
17,APOLLOTYRE,BHARATFORG,0.0000,0.17,0.89,150.33,-2.09,72.97572815533981
18,BOSCHLTD,APOLLOTYRE,0.0075,-9.64,0.96,21460.99,-1.21,117.37803994279041
19,EICHERMOT,APOLLOTYRE,0.0000,69.37,0.96,9927.90,-1.54,44.40533245070435
20,APOLLOTYRE,EXIDEIND,0.3398,-0.06,0.76,280.67,-2.86,136.24757281553397
21,HEROMOTOCO,APOLLOTYRE,0.0000,8.13,0.96,1308.40,-0.71,45.57297109021248
22,MRF,APOLLOTYRE,0.0000,172.12,0.96,27483.33,0.24,43.33030625517323
23,APOLLOTYRE,M&M,0.9403,-0.00,0.79,266.87,-2.87,129.54854368932038
24,MARUTI,APOLLOTYRE,0.0000,17.75,0.96,4140.06,-2.33,60.214675296342094
25,APOLLOTYRE,MOTHERSUMI,0.0000,0.47,0.79,117.56,-1.28,57.067961165048544
26,APOLLOTYRE,TVSMOTOR,0.0000,0.13,0.88,189.46,-2.44,91.97087378640776
27,APOLLOTYRE,TATAMTRDVR,0.0000,0.35,0.43,205.15,-1.95,99.5873786407767
28,APOLLOTYRE,TATAMOTORS,0.0000,0.19,0.46,207.35,-1.97,100.65533980582525
29,BAJAJ-AUTO,ASHOKLEY,0.1114,1.50,0.74,2664.93,-1.77,105.50835378889856
30,BHARATFORG,ASHOKLEY,0.0000,2.73,0.74,309.01,-1.35,55.65240882485367
31,BOSCHLTD,ASHOKLEY,0.3601,-4.98,0.74,19574.65,-0.73,107.06095336543852
32,EICHERMOT,ASHOKLEY,0.0000,97.02,0.74,15191.60,-2.80,67.94871508154999
33,EXIDEIND,ASHOKLEY,0.0001,-0.51,0.74,319.04,-0.44,126.95582968563471
