Date,HCLTECH,INFIBEAM,INFY,KPIT,MINDTREE,OFSS,TCS,TATAELXSI,TECHM,WIPRO
2018-01-22,966.35,147.15,1150.0,199.95,757.35,4208.0,3116.4,1078.75,569.5,321.55
2018-01-23,995.35,147.85,1177.1,203.45,762.55,4245.95,3102.0,1077.25,588.25,315.25
2018-01-24,1018.45,154.3,1185.8,210.25,753.45,4287.4,3174.6,1094.4,603.15,313.95
2018-01-25,1009.55,158.2,1175.4,211.45,749.55,4230.8,3121.05,1087.7,598.45,311.95
2018-01-29,1012.05,157.85,1182.9,208.4,761.95,4206.15,3198.85,1086.05,604.8,311.15
2018-01-30,1000.4,157.35,1170.65,219.35,764.45,4121.35,3152.85,1082.8,602.95,307.3
2018-01-31,986.55,156.2,1150.25,211.6,770.0,4182.65,3112.35,1059.8,612.65,304.7
2018-02-01,984.9,159.2,1144.6,208.7,753.6,4207.95,3138.6,1024.6,611.05,300.75
2018-02-02,990.9,152.55,1143.25,197.35,735.15,4192.8,3153.65,993.05,619.45,300.6
2018-02-05,993.15,155.65,1138.2,207.1,705.0,4233.9,3103.2,1006.45,629.05,298.75
2018-02-06,953.85,151.55,1107.75,206.3,720.7,4173.85,2997.25,969.0,606.7,294.65
2018-02-07,938.55,153.85,1109.05,211.85,717.45,4096.8,2955.05,972.85,603.1,289.35
2018-02-08,944.35,156.05,1134.25,221.15,733.3,4092.8,2974.2,995.9,608.25,289.8
2018-02-09,964.0,157.3,1109.15,215.25,717.2,4069.15,2971.7,998.25,595.25,285.0
2018-02-12,939.15,158.25,1102.8,215.45,722.4,4052.7,2967.3,1007.65,590.35,288.95
2018-02-14,937.8,158.3,1097.75,218.0,723.6,4014.35,2911.8,1021.65,611.5,293.45
2018-02-15,939.7,161.6,1114.45,208.2,701.6,4033.9,2925.85,1013.15,605.65,292.5
2018-02-16,937.1,160.4,1128.05,205.9,713.2,4043.5,2933.05,1002.55,584.35,291.0
2018-02-19,914.2,160.35,1131.75,198.55,691.55,4000.85,2923.6,986.55,572.45,289.95
2018-02-20,907.45,159.3,1136.95,198.85,697.8,4054.35,2944.75,988.1,574.2,291.45
2018-02-21,942.9,159.35,1147.4,200.45,726.15,4072.75,3042.3,991.65,595.2,292.2
2018-02-22,941.0,157.3,1160.75,201.25,740.7,4090.6,3050.2,997.85,602.6,292.65
2018-02-23,955.6,160.65,1155.65,206.75,811.9,4032.3,3075.8,1019.75,621.45,295.0
2018-02-26,946.05,161.3,1138.6,208.2,801.85,4001.35,3031.7,1048.7,612.45,291.6
2018-02-27,949.9,156.0,1150.2,213.3,802.7,3871.3,3042.35,1038.9,610.55,291.75
