,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error,Alpha:YPrice
0,HCLTECH,INFIBEAM,0.0100,0.33,0.37,923.11,1.21,91.48761149653122
1,HCLTECH,INFY,0.0000,-0.17,0.45,1172.25,-1.05,116.17938553022795
2,HCLTECH,KPIT,0.2268,0.15,0.55,939.16,0.70,93.0782953419227
3,HCLTECH,MINDTREE,0.0000,0.18,0.57,807.13,0.47,79.99306243805748
4,OFSS,HCLTECH,0.0000,1.07,1.27,2966.68,-1.10,76.13509213160191
5,HCLTECH,TCS,0.0260,-0.02,0.32,1016.96,0.40,100.78889990089198
6,HCLTECH,TATAELXSI,0.0154,0.07,0.57,897.86,0.82,88.98513379583746
7,HCLTECH,TECHM,0.0000,0.61,1.03,567.77,0.30,56.27056491575818
8,HCLTECH,WIPRO,0.0000,2.35,1.08,302.61,-0.87,29.991080277502476
9,INFY,INFIBEAM,0.0207,1.00,0.37,994.95,-1.92,147.76119402985074
10,KPIT,INFIBEAM,0.0000,0.64,0.37,149.23,0.53,75.59777102330293
11,MINDTREE,INFIBEAM,0.0001,1.09,0.37,764.82,1.33,77.99908214777422
12,OFSS,INFIBEAM,0.0001,1.22,0.37,3806.26,0.19,97.68156854693837
13,INFIBEAM,TCS,0.1494,-0.01,0.32,181.62,-3.44,346.93409742120343
14,TATAELXSI,INFIBEAM,0.0000,2.32,0.37,820.39,0.24,84.12530762920426
15,TECHM,INFIBEAM,0.0000,0.46,0.37,591.57,1.72,85.06290890790136
16,WIPRO,INFIBEAM,0.3065,0.05,0.37,279.54,1.55,89.29563967417346
17,KPIT,INFY,0.0000,0.05,0.45,192.83,-0.94,97.68490374873353
18,MINDTREE,INFY,0.0309,-0.10,0.45,1064.33,-0.12,108.5441843863138
19,OFSS,INFY,0.0104,-0.14,0.45,4173.57,-1.26,107.10799158240518
20,INFY,TCS,0.4211,-0.02,0.32,1210.27,-2.52,179.7386203311799
21,TATAELXSI,INFY,0.0000,0.27,0.45,886.95,-0.64,90.95057424118129
22,TECHM,INFY,0.0000,-0.09,0.45,773.97,-0.38,111.29053131066216
23,WIPRO,INFY,0.0000,-0.08,0.45,374.48,-0.79,119.62306340840121
24,MINDTREE,KPIT,0.0000,2.65,0.55,270.50,2.27,27.586558564071186
25,OFSS,KPIT,0.9313,0.03,0.55,4001.84,-0.75,102.70081609608377
26,KPIT,TCS,0.0000,-0.03,0.32,340.42,-2.69,172.45187436676798
27,TATAELXSI,KPIT,0.0000,4.22,0.55,129.09,0.23,13.237284659557014
28,TECHM,KPIT,0.0000,0.81,0.55,460.96,1.87,66.28226328276655
29,WIPRO,KPIT,0.0020,-0.13,0.55,320.52,0.94,102.386200287494
30,OFSS,MINDTREE,0.0689,0.16,0.57,3857.02,-0.81,98.98424267309963
31,MINDTREE,TCS,0.0000,-0.09,0.32,1171.60,-0.14,119.4839630819438
32,MINDTREE,TATAELXSI,0.0000,0.58,0.57,249.15,2.00,25.40920911733211
33,TECHM,MINDTREE,0.0000,0.34,0.57,349.89,0.63,50.311309224243296
34,WIPRO,MINDTREE,0.5682,0.01,0.57,280.49,1.28,89.59910557418942
35,OFSS,TCS,0.0119,0.04,0.32,3896.11,-0.60,99.98742493455833
36,OFSS,TATAELXSI,0.3877,0.06,0.57,3936.68,-0.67,101.02858902633065
37,OFSS,TECHM,0.0119,0.56,1.03,3632.25,-0.88,93.2158805112149
38,OFSS,WIPRO,0.0000,2.66,1.08,3244.84,-1.33,83.27362315865113
39,TATAELXSI,TCS,0.0000,-0.17,0.32,1628.67,-2.67,167.0088187038556
40,TECHM,TCS,0.0000,-0.03,0.32,756.92,0.17,108.83888129987777
41,WIPRO,TCS,0.9200,0.00,0.32,286.44,1.30,91.49976042165788
42,TECHM,TATAELXSI,0.0000,0.17,0.57,467.37,1.60,67.2039686533899
43,WIPRO,TATAELXSI,0.0158,-0.02,0.57,314.53,1.04,100.47276792844592
44,WIPRO,TECHM,0.0004,0.11,1.03,214.32,1.18,68.46190704360326
