,Expiry_strike,Spot,CE_intr_V,call_premium,CallPayoff,PE_intr_V,put_premium,put_Payoff,Payoff
0,4600,11967.65,0,84.0,84.0,6800,59.5,-6740.5,-6656.5
1,4650,11967.65,0,84.0,84.0,6750,59.5,-6690.5,-6606.5
2,4700,11967.65,0,84.0,84.0,6700,59.5,-6640.5,-6556.5
3,4750,11967.65,0,84.0,84.0,6650,59.5,-6590.5,-6506.5
4,4800,11967.65,0,84.0,84.0,6600,59.5,-6540.5,-6456.5
5,4850,11967.65,0,84.0,84.0,6550,59.5,-6490.5,-6406.5
6,4900,11967.65,0,84.0,84.0,6500,59.5,-6440.5,-6356.5
7,4950,11967.65,0,84.0,84.0,6450,59.5,-6390.5,-6306.5
8,5000,11967.65,0,84.0,84.0,6400,59.5,-6340.5,-6256.5
9,5050,11967.65,0,84.0,84.0,6350,59.5,-6290.5,-6206.5
10,5100,11967.65,0,84.0,84.0,6300,59.5,-6240.5,-6156.5
11,5150,11967.65,0,84.0,84.0,6250,59.5,-6190.5,-6106.5
12,5200,11967.65,0,84.0,84.0,6200,59.5,-6140.5,-6056.5
13,5250,11967.65,0,84.0,84.0,6150,59.5,-6090.5,-6006.5
14,5300,11967.65,0,84.0,84.0,6100,59.5,-6040.5,-5956.5
15,5350,11967.65,0,84.0,84.0,6050,59.5,-5990.5,-5906.5
16,5400,11967.65,0,84.0,84.0,6000,59.5,-5940.5,-5856.5
17,5450,11967.65,0,84.0,84.0,5950,59.5,-5890.5,-5806.5
18,5500,11967.65,0,84.0,84.0,5900,59.5,-5840.5,-5756.5
19,5550,11967.65,0,84.0,84.0,5850,59.5,-5790.5,-5706.5
20,5600,11967.65,0,84.0,84.0,5800,59.5,-5740.5,-5656.5
21,5650,11967.65,0,84.0,84.0,5750,59.5,-5690.5,-5606.5
22,5700,11967.65,0,84.0,84.0,5700,59.5,-5640.5,-5556.5
23,5750,11967.65,0,84.0,84.0,5650,59.5,-5590.5,-5506.5
24,5800,11967.65,0,84.0,84.0,5600,59.5,-5540.5,-5456.5
25,5850,11967.65,0,84.0,84.0,5550,59.5,-5490.5,-5406.5
26,5900,11967.65,0,84.0,84.0,5500,59.5,-5440.5,-5356.5
27,5950,11967.65,0,84.0,84.0,5450,59.5,-5390.5,-5306.5
28,6000,11967.65,0,84.0,84.0,5400,59.5,-5340.5,-5256.5
29,6050,11967.65,0,84.0,84.0,5350,59.5,-5290.5,-5206.5
30,6100,11967.65,0,84.0,84.0,5300,59.5,-5240.5,-5156.5
31,6150,11967.65,0,84.0,84.0,5250,59.5,-5190.5,-5106.5
32,6200,11967.65,0,84.0,84.0,5200,59.5,-5140.5,-5056.5
33,6250,11967.65,0,84.0,84.0,5150,59.5,-5090.5,-5006.5
34,6300,11967.65,0,84.0,84.0,5100,59.5,-5040.5,-4956.5
35,6350,11967.65,0,84.0,84.0,5050,59.5,-4990.5,-4906.5
36,6400,11967.65,0,84.0,84.0,5000,59.5,-4940.5,-4856.5
37,6450,11967.65,0,84.0,84.0,4950,59.5,-4890.5,-4806.5
38,6500,11967.65,0,84.0,84.0,4900,59.5,-4840.5,-4756.5
39,6550,11967.65,0,84.0,84.0,4850,59.5,-4790.5,-4706.5
40,6600,11967.65,0,84.0,84.0,4800,59.5,-4740.5,-4656.5
41,6650,11967.65,0,84.0,84.0,4750,59.5,-4690.5,-4606.5
42,6700,11967.65,0,84.0,84.0,4700,59.5,-4640.5,-4556.5
43,6750,11967.65,0,84.0,84.0,4650,59.5,-4590.5,-4506.5
44,6800,11967.65,0,84.0,84.0,4600,59.5,-4540.5,-4456.5
45,6850,11967.65,0,84.0,84.0,4550,59.5,-4490.5,-4406.5
46,6900,11967.65,0,84.0,84.0,4500,59.5,-4440.5,-4356.5
47,6950,11967.65,0,84.0,84.0,4450,59.5,-4390.5,-4306.5
48,7000,11967.65,0,84.0,84.0,4400,59.5,-4340.5,-4256.5
49,7050,11967.65,0,84.0,84.0,4350,59.5,-4290.5,-4206.5
50,7100,11967.65,0,84.0,84.0,4300,59.5,-4240.5,-4156.5
51,7150,11967.65,0,84.0,84.0,4250,59.5,-4190.5,-4106.5
52,7200,11967.65,0,84.0,84.0,4200,59.5,-4140.5,-4056.5
53,7250,11967.65,0,84.0,84.0,4150,59.5,-4090.5,-4006.5
54,7300,11967.65,0,84.0,84.0,4100,59.5,-4040.5,-3956.5
55,7350,11967.65,0,84.0,84.0,4050,59.5,-3990.5,-3906.5
56,7400,11967.65,0,84.0,84.0,4000,59.5,-3940.5,-3856.5
57,7450,11967.65,0,84.0,84.0,3950,59.5,-3890.5,-3806.5
58,7500,11967.65,0,84.0,84.0,3900,59.5,-3840.5,-3756.5
59,7550,11967.65,0,84.0,84.0,3850,59.5,-3790.5,-3706.5
60,7600,11967.65,0,84.0,84.0,3800,59.5,-3740.5,-3656.5
61,7650,11967.65,0,84.0,84.0,3750,59.5,-3690.5,-3606.5
62,7700,11967.65,0,84.0,84.0,3700,59.5,-3640.5,-3556.5
63,7750,11967.65,0,84.0,84.0,3650,59.5,-3590.5,-3506.5
64,7800,11967.65,0,84.0,84.0,3600,59.5,-3540.5,-3456.5
65,7850,11967.65,0,84.0,84.0,3550,59.5,-3490.5,-3406.5
66,7900,11967.65,0,84.0,84.0,3500,59.5,-3440.5,-3356.5
67,7950,11967.65,0,84.0,84.0,3450,59.5,-3390.5,-3306.5
68,8000,11967.65,0,84.0,84.0,3400,59.5,-3340.5,-3256.5
69,8050,11967.65,0,84.0,84.0,3350,59.5,-3290.5,-3206.5
70,8100,11967.65,0,84.0,84.0,3300,59.5,-3240.5,-3156.5
71,8150,11967.65,0,84.0,84.0,3250,59.5,-3190.5,-3106.5
72,8200,11967.65,0,84.0,84.0,3200,59.5,-3140.5,-3056.5
73,8250,11967.65,0,84.0,84.0,3150,59.5,-3090.5,-3006.5
74,8300,11967.65,0,84.0,84.0,3100,59.5,-3040.5,-2956.5
75,8350,11967.65,0,84.0,84.0,3050,59.5,-2990.5,-2906.5
76,8400,11967.65,0,84.0,84.0,3000,59.5,-2940.5,-2856.5
77,8450,11967.65,0,84.0,84.0,2950,59.5,-2890.5,-2806.5
78,8500,11967.65,0,84.0,84.0,2900,59.5,-2840.5,-2756.5
79,8550,11967.65,0,84.0,84.0,2850,59.5,-2790.5,-2706.5
80,8600,11967.65,0,84.0,84.0,2800,59.5,-2740.5,-2656.5
81,8650,11967.65,0,84.0,84.0,2750,59.5,-2690.5,-2606.5
82,8700,11967.65,0,84.0,84.0,2700,59.5,-2640.5,-2556.5
83,8750,11967.65,0,84.0,84.0,2650,59.5,-2590.5,-2506.5
84,8800,11967.65,0,84.0,84.0,2600,59.5,-2540.5,-2456.5
85,8850,11967.65,0,84.0,84.0,2550,59.5,-2490.5,-2406.5
86,8900,11967.65,0,84.0,84.0,2500,59.5,-2440.5,-2356.5
87,8950,11967.65,0,84.0,84.0,2450,59.5,-2390.5,-2306.5
88,9000,11967.65,0,84.0,84.0,2400,59.5,-2340.5,-2256.5
