Date,AMARAJABAT,APOLLOTYRE,ASHOKLEY,BAJAJ-AUTO,BHARATFORG,BOSCHLTD,EICHERMOT,EXIDEIND,HEROMOTOCO,MRF,M&M,MARUTI,MOTHERSUMI,TVSMOTOR,TATAMTRDVR,TATAMOTORS
2018-01-08,864.9,283.7,128.45,3275.75,742.4,19998.35,29197.4,225.7,3786.75,72610.5,759.9,9448.95,383.75,767.05,255.2,433.55
2018-01-09,858.85,285.6,130.5,3243.5,732.6,19830.1,28596.95,225.1,3749.45,73025.05,762.45,9383.55,383.2,770.5,256.65,437.55
2018-01-10,854.45,278.05,127.95,3207.4,726.55,19811.15,28097.5,223.4,3736.9,72481.5,759.85,9375.85,378.65,767.45,254.0,433.3
2018-01-11,862.9,279.05,127.05,3193.4,727.45,19954.7,28444.7,223.8,3705.65,72311.95,766.65,9339.8,385.7,755.35,254.1,434.75
2018-01-12,857.55,278.95,128.65,3175.35,730.6,19771.6,28649.75,224.2,3687.35,71970.95,767.5,9459.15,385.9,750.4,252.25,437.1
2018-01-15,864.2,278.7,126.1,3166.0,730.75,19903.65,27981.5,232.1,3628.8,71534.0,759.2,9358.45,383.1,740.45,246.45,432.35
2018-01-16,856.85,271.7,122.3,3160.05,715.2,19859.0,27891.2,228.3,3586.1,70284.55,746.7,9322.05,377.8,722.55,243.7,421.9
2018-01-17,850.6,273.85,124.45,3194.15,735.15,19954.25,28222.85,226.5,3566.85,70420.8,745.35,9313.9,384.1,730.0,245.05,422.95
2018-01-18,832.7,261.85,120.9,3201.2,720.9,19903.7,27954.4,222.25,3593.35,68804.45,759.25,9368.7,378.8,719.95,242.6,418.95
2018-01-19,825.0,264.8,121.05,3210.4,735.75,19976.15,28009.45,221.2,3589.75,69156.0,765.4,9323.95,382.3,715.2,243.7,418.05
2018-01-22,824.45,259.6,121.05,3274.5,739.7,19981.5,27649.8,223.6,3602.95,69677.3,759.6,9310.1,384.4,715.0,239.05,421.9
2018-01-23,819.65,264.85,124.0,3295.95,748.5,19776.0,27071.25,222.5,3630.0,69930.7,769.05,9393.4,386.1,706.15,238.25,418.0
2018-01-24,875.6,267.25,123.3,3341.55,746.35,19730.3,26404.05,232.65,3645.5,68894.5,755.4,9434.95,384.45,706.7,231.0,403.6
2018-01-25,841.8,261.05,122.3,3311.7,721.15,19642.5,26519.4,227.1,3571.2,67543.65,757.8,9278.2,370.15,704.6,227.25,400.3
