Date,NIFTY,BANKNIFTY
2018-01-08,10623.6,25676.1
2018-01-09,10637.0,25703.8
2018-01-10,10632.2,25617.3
2018-01-11,10651.2,25660.9
2018-01-12,10681.25,25749.05
2018-01-15,10741.55,26069.2
2018-01-16,10700.45,25974.9
2018-01-17,10788.55,26289.1
2018-01-18,10817.0,26537.4
2018-01-19,10894.7,26909.5
2018-01-22,10966.2,27041.2
2018-01-23,11083.7,27390.6
2018-01-24,11086.0,27398.55
2018-01-25,11069.65,27445.65
2018-01-29,11130.4,27498.45
2018-01-30,11049.65,27269.05
2018-01-31,11027.7,27379.45
2018-02-01,11016.9,27220.7
2018-02-02,10760.6,26451.15
2018-02-05,10666.55,26098.75
2018-02-06,10498.25,25811.3
2018-02-07,10476.7,25670.0
2018-02-08,10576.85,25920.65
2018-02-09,10454.95,25463.65
2018-02-12,10539.75,25701.6
2018-02-14,10500.9,25341.25
2018-02-15,10545.5,25424.35
2018-02-16,10452.3,25163.9
2018-02-19,10378.4,25058.55
2018-02-20,10360.4,24874.4
2018-02-21,10397.45,24936.7
2018-02-22,10382.7,24955.2
2018-02-23,10491.05,25302.5
2018-02-26,10582.6,25687.9
2018-02-27,10554.3,25383.6
2018-02-28,10492.85,25107.4
2018-03-01,10458.35,24902.55
2018-03-05,10358.85,24818.7
2018-03-06,10249.25,24448.45
2018-03-07,10154.2,24134.1
2018-03-08,10242.65,24477.65
2018-03-09,10226.85,24296.45
2018-03-12,10421.4,24664.2
2018-03-13,10426.85,24738.65
2018-03-14,10410.9,24851.65
2018-03-15,10360.15,24791.85
2018-03-16,10195.15,24489.55
2018-03-19,10094.25,24245.1
2018-03-20,10124.35,24168.2
2018-03-21,10155.25,24255.6
2018-03-22,10114.75,24141.5
2018-03-23,9998.05,23670.4
2018-03-26,10130.65,24244.35
2018-03-27,10184.15,24434.15
2018-03-28,10113.7,24263.35
2018-04-02,10211.8,24328.5
2018-04-03,10245.0,24510.6
2018-04-04,10128.4,24129.5
2018-04-05,10325.15,24759.8
2018-04-06,10331.6,24873.15
2018-04-09,10379.35,25093.8
2018-04-10,10402.25,25226.8
2018-04-11,10417.15,25098.25
2018-04-12,10458.65,25195.1
2018-04-13,10480.6,25200.6
2018-04-16,10528.35,25320.85
2018-04-17,10548.7,25334.45
2018-04-18,10526.2,25102.3
2018-04-19,10565.3,25126.15
2018-04-20,10564.05,24943.85
2018-04-23,10584.7,24960.65
2018-04-24,10614.35,25042.1
2018-04-25,10570.55,24814.4
2018-04-26,10617.8,25010.9
2018-04-27,10692.3,25394.6
2018-04-30,10739.35,25531.6
2018-05-02,10718.05,25568.3
2018-05-03,10679.65,25605.25
2018-05-04,10618.25,25645.4
2018-05-07,10715.5,25852.05
2018-05-08,10717.8,26090.5
2018-05-09,10741.7,26154.45
2018-05-10,10716.55,26131.0
2018-05-11,10806.5,26413.15
2018-05-14,10806.6,26475.15
2018-05-15,10801.85,26474.0
2018-05-16,10741.1,26182.15
2018-05-17,10682.7,26073.8
2018-05-18,10596.4,25875.6
2018-05-21,10516.7,25750.8
2018-05-22,10536.7,25777.7
2018-05-23,10430.35,25684.95
2018-05-24,10513.85,26016.8
2018-05-25,10605.15,26273.55
2018-05-28,10688.65,26614.25
2018-05-29,10633.3,26254.8
2018-05-30,10614.35,26327.8
2018-05-31,10736.15,26956.2
2018-06-01,10696.2,26692.8
2018-06-04,10628.5,26257.55
2018-06-05,10593.15,26251.0
2018-06-06,10684.65,26367.6
2018-06-07,10768.35,26517.8
2018-06-08,10767.65,26451.35
2018-06-11,10786.95,26453.55
2018-06-12,10842.85,26607.1
2018-06-13,10856.7,26642.8
2018-06-14,10808.05,26562.25
2018-06-15,10817.7,26417.4
2018-06-18,10799.85,26409.3
2018-06-19,10710.45,26265.75
2018-06-20,10772.05,26557.7
2018-06-21,10741.1,26496.95
2018-06-22,10821.85,26766.85
2018-06-25,10762.45,26609.7
2018-06-26,10769.15,26601.7
2018-06-27,10671.4,26423.4
2018-06-28,10589.1,26324.6
2018-06-29,10714.3,26364.2
2018-07-02,10657.3,26230.3
2018-07-03,10699.9,26204.1
2018-07-04,10769.9,26433.95
2018-07-05,10749.75,26503.3
2018-07-06,10772.65,26493.85
2018-07-09,10852.9,26753.3
2018-07-10,10947.25,26894.55
2018-07-11,10948.3,26816.2
2018-07-12,11023.2,27026.55
2018-07-13,11018.9,26935.95
2018-07-16,10936.85,26679.8
2018-07-17,11008.05,27008.1
2018-07-18,10980.45,26880.9
2018-07-19,10957.1,26789.65
2018-07-20,11010.2,26873.2
2018-07-23,11084.75,27008.15
2018-07-24,11134.3,26974.4
2018-07-25,11132.0,27031.3
2018-07-26,11167.3,27406.4
2018-07-27,11278.35,27634.4
2018-07-30,11319.55,27842.6
2018-07-31,11356.5,27764.15
2018-08-01,11346.2,27596.6
2018-08-02,11244.7,27355.95
2018-08-03,11360.8,27695.5
2018-08-06,11387.1,27898.5
2018-08-07,11389.45,27875.9
2018-08-08,11450.0,28062.45
2018-08-09,11470.7,28320.0
2018-08-10,11429.5,28124.25
2018-08-13,11355.75,27794.4
2018-08-14,11435.1,28021.7
2018-08-16,11385.05,27826.55
2018-08-17,11470.75,28128.55
2018-08-20,11551.75,28274.25
