Date,NIFTY,BANKNIFTY
2018-08-21,11570.9,28257.9
2018-08-23,11582.75,28027.9
2018-08-24,11557.1,27834.7
2018-08-27,11691.95,28264.2
2018-08-28,11738.5,28269.65
2018-08-29,11691.9,28224.1
2018-08-30,11676.8,28103.25
2018-08-31,11680.5,28061.75
2018-09-03,11582.35,27819.5
2018-09-04,11520.3,27430.75
2018-09-05,11476.95,27376.05
2018-09-06,11536.9,27468.7
2018-09-07,11589.1,27481.45
2018-09-10,11438.1,27201.75
2018-09-11,11287.5,26807.5
2018-09-12,11369.9,26819.2
2018-09-14,11515.2,27163.85
2018-09-17,11377.75,26820.3
2018-09-18,11278.9,26441.45
2018-09-19,11234.35,26277.35
2018-09-21,11143.1,25596.9
2018-09-24,10967.4,24970.35
2018-09-25,11067.45,25330.35
