,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error
0,BANKNIFTY,AXISBANK,0.00,18.19,0.98,16121.28,-2.42
1,BANKNIFTY,BANKBARODA,0.26,6.72,0.75,25256.08,-0.59
2,BANKNIFTY,HDFCBANK,0.00,8.83,1.50,8548.32,-0.68
3,BANKNIFTY,ICICIBANK,0.00,19.34,0.93,20326.04,-0.99
4,BANKNIFTY,IDFCBANK,0.00,-46.96,0.54,28391.96,-1.18
5,BANKNIFTY,INDUSINDBK,0.00,6.09,1.27,14958.51,0.04
6,BANKNIFTY,KOTAKBANK,0.00,5.96,0.80,19027.22,-0.83
7,BANKNIFTY,PNB,0.16,-3.85,0.26,26588.62,-0.89
8,BANKNIFTY,RBLBANK,0.00,21.02,0.92,15039.51,-1.03
9,BANKNIFTY,SBIN,0.00,34.33,0.91,16822.61,-0.98
10,BANKNIFTY,YESBANK,0.00,29.51,0.90,16214.55,3.54
11,AXISBANK,BANKBARODA,0.00,1.11,0.75,397.85,2.38
12,HDFCBANK,AXISBANK,0.00,0.52,0.98,1708.76,-0.78
13,AXISBANK,ICICIBANK,0.00,1.39,0.93,132.72,1.95
14,AXISBANK,IDFCBANK,0.04,1.02,0.54,506.52,1.63
15,INDUSINDBK,AXISBANK,0.50,0.13,0.98,1773.44,-1.42
16,AXISBANK,KOTAKBANK,0.62,0.01,0.80,537.21,1.41
17,AXISBANK,PNB,0.05,0.20,0.26,533.76,1.58
18,AXISBANK,RBLBANK,0.00,0.60,0.92,234.63,1.95
19,AXISBANK,SBIN,0.00,1.44,0.91,160.77,2.30
20,AXISBANK,YESBANK,0.00,0.41,0.90,414.87,2.65
21,HDFCBANK,BANKBARODA,0.00,-2.80,0.75,2392.06,-1.44
22,ICICIBANK,BANKBARODA,0.00,1.12,0.75,146.40,2.24
23,BANKBARODA,IDFCBANK,0.00,1.67,0.54,62.77,-1.82
24,INDUSINDBK,BANKBARODA,0.00,-3.05,0.75,2274.56,-2.41
25,KOTAKBANK,BANKBARODA,0.00,-4.85,0.75,1887.11,-1.89
26,BANKBARODA,PNB,0.00,0.35,0.26,105.84,-2.03
27,RBLBANK,BANKBARODA,0.02,-0.55,0.75,608.39,-0.62
28,SBIN,BANKBARODA,0.00,0.87,0.75,150.48,1.31
29,YESBANK,BANKBARODA,0.05,0.30,0.75,296.45,-3.87
30,HDFCBANK,ICICIBANK,0.02,-0.74,0.93,2223.38,-0.41
31,HDFCBANK,IDFCBANK,0.00,-10.99,0.54,2510.78,-2.01
32,HDFCBANK,INDUSINDBK,0.00,0.77,1.27,575.86,1.26
33,HDFCBANK,KOTAKBANK,0.00,0.80,0.80,1039.56,-0.67
34,HDFCBANK,PNB,0.00,-1.71,0.26,2170.59,-1.20
35,HDFCBANK,RBLBANK,0.00,1.72,0.92,1085.98,-0.43
36,HDFCBANK,SBIN,0.01,0.91,0.91,1750.36,-0.44
37,HDFCBANK,YESBANK,0.00,2.38,0.90,1191.73,3.18
38,ICICIBANK,IDFCBANK,0.00,2.09,0.54,206.57,1.23
39,INDUSINDBK,ICICIBANK,0.00,-1.56,0.93,2319.64,-1.33
40,ICICIBANK,KOTAKBANK,0.00,-0.08,0.80,402.36,0.24
41,ICICIBANK,PNB,0.00,0.45,0.26,258.51,1.09
42,ICICIBANK,RBLBANK,0.02,0.10,0.92,253.05,0.34
43,ICICIBANK,SBIN,0.00,0.86,0.91,69.17,0.61
44,ICICIBANK,YESBANK,0.11,0.10,0.90,268.38,0.80
45,INDUSINDBK,IDFCBANK,0.00,-12.28,0.54,2418.19,-3.42
46,KOTAKBANK,IDFCBANK,0.00,-14.83,0.54,1896.46,-2.50
47,IDFCBANK,PNB,0.00,0.19,0.26,27.70,-0.74
48,RBLBANK,IDFCBANK,0.00,-2.53,0.54,648.83,-0.78
49,SBIN,IDFCBANK,0.00,1.25,0.54,215.08,0.40
50,YESBANK,IDFCBANK,0.02,-0.77,0.54,374.48,-4.46
51,INDUSINDBK,KOTAKBANK,0.00,0.85,0.80,820.38,-2.57
52,INDUSINDBK,PNB,0.00,-2.40,0.26,2087.43,-2.81
53,INDUSINDBK,RBLBANK,0.00,1.61,0.92,989.07,-1.58
54,INDUSINDBK,SBIN,0.63,-0.18,0.91,1893.80,-1.36
55,INDUSINDBK,YESBANK,0.00,2.12,0.90,1129.47,1.11
56,KOTAKBANK,PNB,0.00,-2.68,0.26,1474.11,-1.39
57,RBLBANK,KOTAKBANK,0.00,0.25,0.80,226.34,-0.13
58,SBIN,KOTAKBANK,0.32,-0.02,0.80,291.33,-0.12
59,YESBANK,KOTAKBANK,0.00,0.13,0.80,186.29,-4.71
60,RBLBANK,PNB,0.00,-0.51,0.26,582.65,-0.66
61,SBIN,PNB,0.00,0.36,0.26,236.90,0.49
62,YESBANK,PNB,0.78,-0.02,0.26,340.37,-4.17
63,RBLBANK,SBIN,0.00,0.87,0.91,292.37,-0.20
64,RBLBANK,YESBANK,0.00,0.79,0.90,262.61,2.25
65,SBIN,YESBANK,0.00,0.32,0.90,163.56,1.74
