,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error
117,TVSMOTOR,TATAMTRDVR,0.0,1.68,0.44,309.58,2.85
118,TVSMOTOR,TATAMOTORS,0.0,1.03,0.46,284.84,2.7
