,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error
0,AMARAJABAT,APOLLOTYRE,0.00,0.83,1.34,586.53,-0.32
1,AMARAJABAT,ASHOKLEY,0.00,0.69,0.78,717.17,-0.95
2,AMARAJABAT,BAJAJ-AUTO,0.29,0.02,1.22,765.11,-1.15
3,AMARAJABAT,BHARATFORG,0.00,0.32,0.96,592.95,-0.65
4,AMARAJABAT,BOSCHLTD,0.00,0.01,1.40,530.18,-1.87
5,EICHERMOT,AMARAJABAT,0.00,8.55,1.71,21749.37,-2.21
6,AMARAJABAT,EXIDEIND,0.04,0.22,0.74,756.04,-1.27
7,AMARAJABAT,HEROMOTOCO,0.27,0.02,1.42,754.75,-1.02
8,AMARAJABAT,MRF,0.02,0.00,1.71,669.91,-0.79
9,AMARAJABAT,M&M,0.72,-0.01,0.77,821.02,-1.18
10,MARUTI,AMARAJABAT,0.00,2.23,1.71,7180.83,-2.76
11,AMARAJABAT,MOTHERSUMI,0.00,0.68,0.86,592.87,-0.12
12,AMARAJABAT,TVSMOTOR,0.00,0.18,0.80,701.81,-1.15
13,AMARAJABAT,TATAMTRDVR,0.00,0.25,0.44,766.68,-0.86
14,AMARAJABAT,TATAMOTORS,0.00,0.18,0.46,754.02,-0.84
15,APOLLOTYRE,ASHOKLEY,0.00,0.49,0.78,202.31,-2.28
16,APOLLOTYRE,BAJAJ-AUTO,0.21,-0.01,1.22,292.79,-2.59
17,APOLLOTYRE,BHARATFORG,0.00,0.09,0.96,209.56,-2.23
18,BOSCHLTD,APOLLOTYRE,0.01,-13.75,1.34,22647.61,0.68
19,EICHERMOT,APOLLOTYRE,0.00,43.36,1.34,16989.41,-1.30
20,APOLLOTYRE,EXIDEIND,0.46,-0.03,0.74,277.98,-2.51
21,HEROMOTOCO,APOLLOTYRE,0.00,6.65,1.34,1719.94,-0.92
22,MRF,APOLLOTYRE,0.00,158.05,1.34,31104.90,-0.84
23,APOLLOTYRE,M&M,0.02,-0.03,0.77,297.02,-2.47
24,MARUTI,APOLLOTYRE,0.00,6.87,1.34,7136.21,-2.29
25,APOLLOTYRE,MOTHERSUMI,0.00,0.24,0.86,192.63,-1.81
26,APOLLOTYRE,TVSMOTOR,0.03,0.04,0.80,243.40,-2.50
27,APOLLOTYRE,TATAMTRDVR,0.00,0.14,0.44,244.25,-2.13
28,APOLLOTYRE,TATAMOTORS,0.00,0.07,0.46,247.10,-2.23
29,BAJAJ-AUTO,ASHOKLEY,0.24,-1.20,0.78,3064.20,-0.72
30,BHARATFORG,ASHOKLEY,0.00,2.21,0.78,386.70,-0.86
31,BOSCHLTD,ASHOKLEY,0.16,-8.16,0.78,20054.11,1.07
32,EICHERMOT,ASHOKLEY,0.00,67.94,0.78,19418.78,-2.35
33,ASHOKLEY,EXIDEIND,0.00,-0.12,0.74,166.31,-1.03
34,HEROMOTOCO,ASHOKLEY,0.00,8.58,0.78,2342.40,-1.86
35,MRF,ASHOKLEY,0.00,61.51,0.78,65338.76,-2.23
36,ASHOKLEY,M&M,0.00,-0.04,0.77,169.98,-0.99
37,MARUTI,ASHOKLEY,0.00,-10.58,0.78,10431.38,-3.77
38,MOTHERSUMI,ASHOKLEY,0.00,0.47,0.78,258.07,-1.85
39,TVSMOTOR,ASHOKLEY,0.00,1.11,0.78,461.56,-0.07
40,ASHOKLEY,TATAMTRDVR,0.00,0.12,0.44,115.40,-0.65
41,ASHOKLEY,TATAMOTORS,0.00,0.06,0.46,117.26,-0.77
42,BAJAJ-AUTO,BHARATFORG,0.00,1.43,0.96,1915.63,-0.06
43,BOSCHLTD,BAJAJ-AUTO,0.12,0.66,1.22,17019.70,1.26
44,EICHERMOT,BAJAJ-AUTO,0.00,-2.12,1.22,34824.49,-2.74
45,BAJAJ-AUTO,EXIDEIND,0.00,-4.32,0.74,3969.47,-0.49
46,HEROMOTOCO,BAJAJ-AUTO,0.00,0.50,1.22,2053.97,-2.11
47,MRF,BAJAJ-AUTO,0.00,-7.82,1.22,96408.06,-2.99
48,BAJAJ-AUTO,M&M,0.00,-1.16,0.77,3881.77,-0.39
49,MARUTI,BAJAJ-AUTO,0.00,0.48,1.22,7587.97,-2.90
50,BAJAJ-AUTO,MOTHERSUMI,0.00,3.78,0.86,1682.50,0.74
51,BAJAJ-AUTO,TVSMOTOR,0.00,2.29,0.80,1497.50,-0.55
52,BAJAJ-AUTO,TATAMTRDVR,0.00,4.04,0.44,2173.80,0.80
53,BAJAJ-AUTO,TATAMOTORS,0.00,2.45,0.46,2122.92,0.60
54,BOSCHLTD,BHARATFORG,0.00,5.71,0.96,15013.68,1.66
55,EICHERMOT,BHARATFORG,0.01,4.31,0.96,25715.84,-2.23
56,BHARATFORG,EXIDEIND,0.00,-1.49,0.74,1057.81,-1.47
57,HEROMOTOCO,BHARATFORG,0.00,1.97,0.96,2157.22,-1.70
58,MRF,BHARATFORG,0.05,-9.05,0.96,79949.91,-2.66
59,BHARATFORG,M&M,0.00,-0.50,0.77,1114.49,-1.40
60,MARUTI,BHARATFORG,0.21,-0.59,0.96,9392.05,-3.10
61,BHARATFORG,MOTHERSUMI,0.00,1.41,0.86,234.97,0.28
62,BHARATFORG,TVSMOTOR,0.00,0.72,0.80,243.67,-1.67
63,BHARATFORG,TATAMTRDVR,0.00,1.30,0.44,454.39,-0.07
64,BHARATFORG,TATAMOTORS,0.00,0.83,0.46,425.31,-0.23
65,EICHERMOT,BOSCHLTD,0.76,0.03,1.40,28149.38,-2.46
66,BOSCHLTD,EXIDEIND,0.35,2.85,0.74,18234.01,1.16
67,HEROMOTOCO,BOSCHLTD,0.01,-0.03,1.40,4163.12,-1.95
68,MRF,BOSCHLTD,0.00,-0.76,1.40,88048.02,-2.21
69,BOSCHLTD,M&M,0.64,0.43,0.77,18575.54,1.16
70,MARUTI,BOSCHLTD,0.77,0.01,1.40,8853.43,-2.99
71,BOSCHLTD,MOTHERSUMI,0.00,12.32,0.86,14974.67,2.00
72,BOSCHLTD,TVSMOTOR,0.00,5.28,0.80,15705.47,1.35
73,BOSCHLTD,TATAMTRDVR,0.13,3.72,0.44,18272.27,1.38
74,BOSCHLTD,TATAMOTORS,0.01,4.04,0.46,17657.65,1.52
75,EICHERMOT,EXIDEIND,0.01,9.13,0.74,26420.14,-2.54
76,EICHERMOT,HEROMOTOCO,0.00,2.91,1.42,18478.12,-1.68
77,EICHERMOT,MRF,0.00,0.20,1.71,13831.65,-1.37
78,EICHERMOT,M&M,0.04,2.40,0.77,26649.78,-2.55
79,MARUTI,EICHERMOT,0.01,-0.05,1.71,10547.65,-3.54
80,EICHERMOT,MOTHERSUMI,0.02,7.59,0.86,26239.81,-2.11
81,EICHERMOT,TVSMOTOR,0.81,0.39,0.80,28445.22,-2.42
82,EICHERMOT,TATAMTRDVR,0.49,2.11,0.44,28302.92,-2.35
83,EICHERMOT,TATAMOTORS,0.87,-0.31,0.46,28780.22,-2.45
84,HEROMOTOCO,EXIDEIND,0.00,-4.26,0.74,4568.19,-2.36
85,MRF,EXIDEIND,0.00,53.94,0.74,60365.55,-2.85
86,M&M,EXIDEIND,0.00,3.09,0.74,81.95,0.59
87,MARUTI,EXIDEIND,0.12,1.53,0.74,8609.40,-3.03
88,MOTHERSUMI,EXIDEIND,0.00,-0.58,0.74,464.90,-2.16
89,TVSMOTOR,EXIDEIND,0.00,-1.73,0.74,1042.32,-0.09
90,EXIDEIND,TATAMTRDVR,0.00,-0.65,0.44,365.21,-1.67
91,EXIDEIND,TATAMOTORS,0.00,-0.40,0.46,374.69,-1.46
92,MRF,HEROMOTOCO,0.02,3.01,1.42,63149.47,-2.09
93,HEROMOTOCO,M&M,0.00,-1.26,0.77,4581.87,-2.22
94,MARUTI,HEROMOTOCO,0.24,0.16,1.42,8435.76,-2.79
95,HEROMOTOCO,MOTHERSUMI,0.00,4.03,0.86,2214.89,-1.13
96,HEROMOTOCO,TVSMOTOR,0.00,2.09,0.80,2233.34,-2.54
97,HEROMOTOCO,TATAMTRDVR,0.00,4.43,0.44,2716.15,-1.34
98,HEROMOTOCO,TATAMOTORS,0.00,2.43,0.46,2741.90,-1.57
99,MRF,M&M,0.00,14.19,0.77,61705.50,-2.82
100,MARUTI,MRF,0.00,0.03,1.71,6490.66,-2.29
101,MRF,MOTHERSUMI,0.50,-5.85,0.86,75608.10,-2.54
102,MRF,TVSMOTOR,0.00,-18.20,0.80,84881.00,-2.69
103,MRF,TATAMTRDVR,0.00,-26.48,0.44,78490.98,-2.96
104,MRF,TATAMOTORS,0.00,-19.36,0.46,79874.84,-3.03
105,MARUTI,M&M,0.58,0.17,0.77,8847.19,-2.99
106,MOTHERSUMI,M&M,0.00,-0.20,0.77,493.84,-2.13
107,TVSMOTOR,M&M,0.00,-0.54,0.77,1074.26,0.13
108,M&M,TATAMTRDVR,0.00,-2.17,0.44,1238.10,-1.48
109,M&M,TATAMOTORS,0.00,-1.35,0.46,1276.20,-1.34
110,MARUTI,MOTHERSUMI,0.00,3.92,0.86,7729.25,-2.42
111,MARUTI,TVSMOTOR,0.14,0.63,0.80,8601.10,-2.94
112,MARUTI,TATAMTRDVR,0.07,1.45,0.44,8728.99,-2.76
113,MARUTI,TATAMOTORS,0.05,0.92,0.46,8696.13,-2.78
114,MOTHERSUMI,TVSMOTOR,0.00,0.39,0.80,83.93,-2.95
115,MOTHERSUMI,TATAMTRDVR,0.00,0.76,0.44,184.18,-1.18
116,MOTHERSUMI,TATAMOTORS,0.00,0.47,0.46,173.37,-1.55
117,TVSMOTOR,TATAMTRDVR,0.00,1.68,0.44,309.58,2.85
118,TVSMOTOR,TATAMOTORS,0.00,1.03,0.46,284.84,2.70
119,TATAMOTORS,TATAMTRDVR,0.00,1.64,0.44,22.54,1.15
