,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error
0,HCLTECH,INFIBEAM,0.00,1.49,0.52,715.72,2.11
1,HCLTECH,INFY,0.00,-0.13,0.55,1122.60,1.80
2,HCLTECH,KPIT,0.00,0.45,0.54,855.03,2.78
3,HCLTECH,MINDTREE,0.00,0.15,0.50,833.62,2.51
4,OFSS,HCLTECH,0.00,1.28,1.37,2773.76,-0.79
5,HCLTECH,TCS,0.12,-0.01,0.33,994.55,2.70
6,HCLTECH,TATAELXSI,0.00,0.10,0.57,845.58,2.84
7,HCLTECH,TECHM,0.00,0.47,0.93,658.11,2.12
8,HCLTECH,WIPRO,0.00,1.61,1.08,505.80,1.90
9,INFY,INFIBEAM,0.00,-1.59,0.52,1454.61,-2.43
10,KPIT,INFIBEAM,0.00,0.91,0.52,100.04,-0.99
11,INFIBEAM,MINDTREE,0.00,0.11,0.50,70.11,1.36
12,OFSS,INFIBEAM,0.00,1.74,0.52,3720.78,0.06
13,INFIBEAM,TCS,0.00,-0.01,0.33,204.05,1.66
14,TATAELXSI,INFIBEAM,0.00,3.74,0.52,566.29,-1.02
15,TECHM,INFIBEAM,0.00,1.56,0.52,392.62,0.85
16,WIPRO,INFIBEAM,0.00,0.29,0.52,237.47,1.52
17,INFY,KPIT,0.01,0.89,0.54,957.94,-2.92
18,INFY,MINDTREE,0.91,0.01,0.50,1175.77,-2.80
19,OFSS,INFY,0.00,-0.27,0.55,4337.62,-0.27
20,INFY,TCS,0.00,-0.06,0.33,1329.68,-3.00
21,TATAELXSI,INFY,0.00,0.32,0.55,822.01,1.16
22,TECHM,INFY,0.04,-0.05,0.55,716.60,1.47
23,WIPRO,INFY,0.00,-0.08,0.55,380.80,0.33
24,KPIT,MINDTREE,0.00,0.22,0.50,48.26,-1.39
25,OFSS,KPIT,0.40,-0.26,0.54,4082.44,0.61
26,KPIT,TCS,0.00,-0.04,0.33,357.00,-0.13
27,TATAELXSI,KPIT,0.00,4.25,0.54,120.25,-0.43
28,TECHM,KPIT,0.00,1.17,0.54,359.96,2.57
29,WIPRO,KPIT,0.00,-0.14,0.54,322.69,2.22
30,OFSS,MINDTREE,0.36,0.07,0.50,3949.91,0.50
31,MINDTREE,TCS,0.00,-0.09,0.33,1166.18,0.98
32,TATAELXSI,MINDTREE,0.00,0.91,0.50,361.33,-1.20
33,TECHM,MINDTREE,0.00,0.34,0.50,344.40,1.86
34,WIPRO,MINDTREE,0.00,-0.04,0.50,319.35,2.42
35,OFSS,TCS,0.01,0.04,0.33,3901.19,0.72
36,OFSS,TATAELXSI,0.85,0.01,0.57,3999.92,0.58
37,OFSS,TECHM,0.10,0.34,0.93,3789.60,0.35
38,OFSS,WIPRO,0.00,3.30,1.08,3070.13,-0.38
39,TATAELXSI,TCS,0.00,-0.18,0.33,1679.89,-0.38
40,TECHM,TCS,0.00,-0.04,0.33,749.79,1.76
41,WIPRO,TCS,0.09,0.00,0.33,276.28,2.16
42,TECHM,TATAELXSI,0.00,0.22,0.57,398.40,2.31
43,WIPRO,TATAELXSI,0.00,-0.03,0.57,319.75,2.15
44,WIPRO,TECHM,0.21,-0.04,0.93,310.12,2.24
