,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error
0,BANKNIFTY,AXISBANK,0.00,17.54,0.97,16457.69,-2.33
1,BANKNIFTY,BANKBARODA,0.16,8.06,0.72,25059.14,-0.77
2,BANKNIFTY,HDFCBANK,0.00,8.86,1.50,8498.14,-1.39
3,BANKNIFTY,ICICIBANK,0.00,19.22,0.93,20348.77,-1.18
4,BANKNIFTY,IDFCBANK,0.00,-43.63,0.53,28220.89,-1.45
5,BANKNIFTY,INDUSINDBK,0.00,6.10,1.25,14941.74,-0.18
6,BANKNIFTY,KOTAKBANK,0.00,5.99,0.80,18983.31,-0.87
7,BANKNIFTY,PNB,0.22,-3.37,0.26,26528.13,-1.14
8,BANKNIFTY,RBLBANK,0.00,21.03,0.92,15024.49,-1.52
9,BANKNIFTY,SBIN,0.00,34.45,0.91,16780.44,-1.09
10,BANKNIFTY,YESBANK,0.00,25.71,0.81,17525.56,2.92
11,AXISBANK,BANKBARODA,0.00,0.95,0.72,421.20,1.96
12,HDFCBANK,AXISBANK,0.00,0.50,0.97,1718.26,-0.45
13,AXISBANK,ICICIBANK,0.00,1.39,0.93,131.62,1.60
14,AXISBANK,IDFCBANK,0.07,0.88,0.53,514.04,1.27
15,INDUSINDBK,AXISBANK,0.69,0.08,0.97,1800.46,-1.49
16,AXISBANK,KOTAKBANK,0.67,0.01,0.80,540.45,1.07
17,AXISBANK,PNB,0.09,0.18,0.26,537.02,1.22
18,AXISBANK,RBLBANK,0.00,0.60,0.92,235.36,1.47
19,AXISBANK,SBIN,0.00,1.43,0.91,164.95,1.99
20,AXISBANK,YESBANK,0.01,0.26,0.81,466.07,1.91
21,HDFCBANK,BANKBARODA,0.00,-2.59,0.72,2361.25,-1.24
22,ICICIBANK,BANKBARODA,0.00,1.04,0.72,157.57,2.09
23,BANKBARODA,IDFCBANK,0.00,1.71,0.53,60.55,-2.03
24,INDUSINDBK,BANKBARODA,0.00,-2.60,0.72,2208.91,-2.46
25,KOTAKBANK,BANKBARODA,0.00,-4.48,0.72,1832.46,-2.38
26,BANKBARODA,PNB,0.00,0.36,0.26,104.70,-2.29
27,RBLBANK,BANKBARODA,0.02,-0.52,0.72,603.20,-0.61
28,SBIN,BANKBARODA,0.00,0.84,0.72,155.86,1.17
29,YESBANK,BANKBARODA,0.00,0.50,0.72,267.10,-3.80
30,HDFCBANK,ICICIBANK,0.01,-0.74,0.93,2223.89,-0.20
31,HDFCBANK,IDFCBANK,0.00,-10.69,0.53,2495.64,-1.79
32,HDFCBANK,INDUSINDBK,0.00,0.76,1.25,600.65,1.82
33,HDFCBANK,KOTAKBANK,0.00,0.80,0.80,1040.54,0.63
34,HDFCBANK,PNB,0.00,-1.68,0.26,2165.95,-0.99
35,HDFCBANK,RBLBANK,0.00,1.72,0.92,1085.93,-0.13
36,HDFCBANK,SBIN,0.01,0.91,0.91,1749.22,-0.15
37,HDFCBANK,YESBANK,0.00,2.00,0.81,1324.48,3.12
38,ICICIBANK,IDFCBANK,0.00,2.03,0.53,209.55,1.11
39,INDUSINDBK,ICICIBANK,0.00,-1.58,0.93,2322.57,-1.52
40,ICICIBANK,KOTAKBANK,0.00,-0.08,0.80,402.43,-0.10
41,ICICIBANK,PNB,0.00,0.44,0.26,259.68,0.94
42,ICICIBANK,RBLBANK,0.02,0.10,0.92,253.09,0.14
43,ICICIBANK,SBIN,0.00,0.86,0.91,70.02,0.62
44,ICICIBANK,YESBANK,0.18,0.08,0.81,277.56,0.54
45,INDUSINDBK,IDFCBANK,0.00,-11.66,0.53,2386.34,-3.49
46,KOTAKBANK,IDFCBANK,0.00,-14.40,0.53,1874.23,-3.25
47,IDFCBANK,PNB,0.00,0.19,0.26,27.57,-0.87
48,RBLBANK,IDFCBANK,0.00,-2.47,0.53,645.84,-0.80
49,SBIN,IDFCBANK,0.00,1.24,0.53,215.44,0.21
50,YESBANK,IDFCBANK,0.19,-0.47,0.53,358.69,-4.44
51,INDUSINDBK,KOTAKBANK,0.00,0.86,0.80,813.58,-2.10
52,INDUSINDBK,PNB,0.00,-2.30,0.26,2074.66,-2.92
53,INDUSINDBK,RBLBANK,0.00,1.61,0.92,986.82,-1.75
54,INDUSINDBK,SBIN,0.69,-0.15,0.91,1884.25,-1.47
55,INDUSINDBK,YESBANK,0.00,1.96,0.81,1183.58,1.09
56,KOTAKBANK,PNB,0.00,-2.62,0.26,1466.37,-1.98
57,RBLBANK,KOTAKBANK,0.00,0.25,0.80,226.98,0.24
58,SBIN,KOTAKBANK,0.33,-0.01,0.80,290.77,-0.38
59,YESBANK,KOTAKBANK,0.00,0.13,0.80,178.95,-4.57
60,RBLBANK,PNB,0.00,-0.51,0.26,581.58,-0.66
61,SBIN,PNB,0.00,0.36,0.26,237.14,0.29
62,YESBANK,PNB,0.66,0.03,0.26,333.67,-4.23
63,RBLBANK,SBIN,0.00,0.87,0.91,292.80,-0.02
64,RBLBANK,YESBANK,0.00,0.66,0.81,310.09,2.08
65,SBIN,YESBANK,0.00,0.28,0.81,179.16,1.41
