,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error
0,AMARAJABAT,APOLLOTYRE,0.00,0.84,1.27,584.38,-0.47
1,AMARAJABAT,ASHOKLEY,0.00,0.72,0.77,712.88,-1.27
2,AMARAJABAT,BAJAJ-AUTO,0.25,0.02,1.21,760.14,-1.49
3,AMARAJABAT,BHARATFORG,0.00,0.32,0.95,589.29,-1.00
4,AMARAJABAT,BOSCHLTD,0.00,0.01,1.40,538.02,-2.04
5,AMARAJABAT,EICHERMOT,0.00,0.01,1.63,604.11,-0.82
6,AMARAJABAT,EXIDEIND,0.05,0.21,0.74,759.57,-1.66
7,AMARAJABAT,HEROMOTOCO,0.15,0.02,1.38,739.37,-1.31
8,AMARAJABAT,MRF,0.01,0.00,1.64,654.12,-1.00
9,AMARAJABAT,M&M,0.67,-0.01,0.77,822.47,-1.53
10,MARUTI,AMARAJABAT,0.00,2.66,1.70,6821.35,-3.68
11,AMARAJABAT,MOTHERSUMI,0.00,0.68,0.84,593.67,-0.45
12,AMARAJABAT,TVSMOTOR,0.00,0.18,0.79,699.54,-1.47
13,AMARAJABAT,TATAMTRDVR,0.00,0.26,0.43,763.41,-1.13
14,AMARAJABAT,TATAMOTORS,0.00,0.19,0.45,751.01,-1.10
15,APOLLOTYRE,ASHOKLEY,0.00,0.53,0.77,196.95,-2.72
16,APOLLOTYRE,BAJAJ-AUTO,0.36,-0.01,1.21,286.80,-3.01
17,APOLLOTYRE,BHARATFORG,0.00,0.10,0.95,202.29,-2.66
18,BOSCHLTD,APOLLOTYRE,0.00,-14.11,1.27,22746.90,0.15
19,EICHERMOT,APOLLOTYRE,0.00,46.69,1.27,16074.15,-1.41
20,APOLLOTYRE,EXIDEIND,0.29,-0.05,0.74,281.58,-2.91
21,HEROMOTOCO,APOLLOTYRE,0.00,6.88,1.27,1654.92,-0.61
22,MRF,APOLLOTYRE,0.00,160.92,1.27,30317.52,-0.84
23,APOLLOTYRE,M&M,0.01,-0.03,0.77,298.75,-2.95
24,MARUTI,APOLLOTYRE,0.00,8.80,1.27,6604.78,-3.04
25,APOLLOTYRE,MOTHERSUMI,0.00,0.26,0.84,184.46,-2.21
26,APOLLOTYRE,TVSMOTOR,0.02,0.05,0.79,240.59,-2.93
27,APOLLOTYRE,TATAMTRDVR,0.00,0.16,0.43,239.72,-2.48
28,APOLLOTYRE,TATAMOTORS,0.00,0.08,0.45,242.47,-2.58
29,BAJAJ-AUTO,ASHOKLEY,0.30,-1.06,0.77,3043.57,-0.74
30,BHARATFORG,ASHOKLEY,0.00,2.24,0.77,381.73,-0.86
31,BOSCHLTD,ASHOKLEY,0.13,-8.83,0.77,20151.95,0.67
32,EICHERMOT,ASHOKLEY,0.00,70.48,0.77,19043.56,-2.83
33,ASHOKLEY,EXIDEIND,0.00,-0.13,0.74,167.40,-1.04
34,HEROMOTOCO,ASHOKLEY,0.00,8.86,0.77,2301.09,-1.86
35,MRF,ASHOKLEY,0.00,68.95,0.77,64242.26,-2.57
36,ASHOKLEY,M&M,0.00,-0.04,0.77,170.56,-1.13
37,MARUTI,ASHOKLEY,0.00,-9.13,0.77,10217.91,-4.63
38,MOTHERSUMI,ASHOKLEY,0.00,0.52,0.77,249.91,-1.90
39,TVSMOTOR,ASHOKLEY,0.00,1.12,0.77,460.17,-0.14
40,ASHOKLEY,TATAMTRDVR,0.00,0.12,0.43,114.28,-0.66
41,ASHOKLEY,TATAMOTORS,0.00,0.06,0.45,115.99,-0.78
42,BAJAJ-AUTO,BHARATFORG,0.00,1.44,0.95,1911.45,-0.05
43,BOSCHLTD,BAJAJ-AUTO,0.14,0.63,1.21,17135.70,0.88
