,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error
0,HCLTECH,INFIBEAM,0.00,1.53,0.51,709.24,1.96
1,HCLTECH,INFY,0.00,-0.14,0.53,1136.25,1.18
2,HCLTECH,KPIT,0.00,0.43,0.54,859.37,2.44
3,HCLTECH,MINDTREE,0.00,0.15,0.50,827.45,2.04
4,OFSS,HCLTECH,0.00,1.19,1.33,2859.51,-1.35
5,HCLTECH,TCS,0.08,-0.01,0.32,999.66,2.17
6,HCLTECH,TATAELXSI,0.00,0.10,0.57,848.34,2.39
7,HCLTECH,TECHM,0.00,0.50,0.91,641.24,1.65
8,HCLTECH,WIPRO,0.00,1.67,1.07,489.05,1.61
9,INFY,INFIBEAM,0.00,-1.85,0.51,1495.20,-2.44
10,KPIT,INFIBEAM,0.00,0.88,0.51,104.62,-1.41
11,INFIBEAM,MINDTREE,0.00,0.11,0.50,68.72,0.80
12,OFSS,INFIBEAM,0.00,1.66,0.51,3732.32,-0.58
13,INFIBEAM,TCS,0.00,-0.01,0.32,205.44,1.04
14,TATAELXSI,INFIBEAM,0.00,3.63,0.51,583.12,-1.02
15,TECHM,INFIBEAM,0.00,1.58,0.51,389.70,1.08
16,WIPRO,INFIBEAM,0.00,0.30,0.51,235.36,1.20
17,KPIT,INFY,0.01,0.04,0.53,206.28,0.15
18,INFY,MINDTREE,0.77,-0.03,0.50,1203.94,-2.65
19,OFSS,INFY,0.00,-0.24,0.53,4300.47,-1.00
20,INFY,TCS,0.02,-0.05,0.32,1308.64,-2.83
21,TATAELXSI,INFY,0.00,0.30,0.53,849.97,0.71
22,TECHM,INFY,0.01,-0.06,0.53,731.20,1.11
23,WIPRO,INFY,0.00,-0.08,0.53,379.81,-0.26
24,KPIT,MINDTREE,0.00,0.22,0.50,50.78,-2.36
25,OFSS,KPIT,0.41,-0.26,0.54,4080.93,-0.24
26,KPIT,TCS,0.00,-0.04,0.32,355.83,-1.10
27,TATAELXSI,KPIT,0.00,4.25,0.54,121.08,0.56
28,TECHM,KPIT,0.00,1.16,0.54,363.44,2.94
29,WIPRO,KPIT,0.00,-0.14,0.54,323.73,1.52
30,OFSS,MINDTREE,0.39,0.07,0.50,3953.23,-0.27
31,MINDTREE,TCS,0.00,-0.10,0.32,1170.52,0.70
32,TATAELXSI,MINDTREE,0.00,0.90,0.50,370.38,-1.43
33,TECHM,MINDTREE,0.00,0.34,0.50,341.86,1.77
34,WIPRO,MINDTREE,0.00,-0.03,0.50,317.10,1.81
35,OFSS,TCS,0.01,0.04,0.32,3900.10,-0.10
36,OFSS,TATAELXSI,0.84,0.01,0.57,3999.00,-0.21
37,OFSS,TECHM,0.12,0.32,0.91,3805.32,-0.41
38,OFSS,WIPRO,0.00,3.17,1.07,3105.68,-1.00
39,TATAELXSI,TCS,0.00,-0.18,0.32,1675.59,-0.86
40,TECHM,TCS,0.00,-0.04,0.32,753.00,1.47
41,WIPRO,TCS,0.14,0.00,0.32,277.75,1.64
42,TECHM,TATAELXSI,0.00,0.21,0.57,400.48,2.22
43,WIPRO,TATAELXSI,0.00,-0.03,0.57,320.45,1.56
44,WIPRO,TECHM,0.40,-0.02,0.91,302.69,1.67
