,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error,Alpha:YPrice
0,CME_YM2,CME_CL18,0.0000,225.22,0.57,11377.20,-1.91,44.466505119987495
1,CME_YM2,CME_NQ2,0.0000,2.35,0.66,8494.00,0.81,33.19784257015555
2,CME_ES2,CME_YM2,0.0000,0.10,0.92,376.50,-0.63,13.497042480731315
3,CME_GC2,CME_YM2,0.0002,-0.01,0.92,1436.28,-1.74,120.35193564605328
4,CME_NQ2,CME_CL18,0.0000,95.12,0.57,1273.49,-3.95,18.017048067060447
5,CME_ES2,CME_CL18,0.0000,23.10,0.57,1362.31,-2.87,48.8370675748342
6,CME_GC2,CME_CL18,0.0000,-3.03,0.57,1453.61,-1.15,121.80408915703032
7,CME_ES2,CME_NQ2,0.0000,0.24,0.66,1047.85,0.55,37.56407958415486
8,CME_GC2,CME_NQ2,0.0000,-0.03,0.66,1487.25,-1.78,124.62292609351432
9,CME_GC2,CME_ES2,0.0000,-0.11,1.04,1576.66,-1.73,132.1149656443774
