,esu18,nqu18,ymu18
0,2879.0,7457.5,26025.0
1,2888.25,7531.75,25973.0
2,2898.25,7638.75,25985.0
3,2902.0,7661.25,25988.0
4,2902.0,7649.0,26010.0
5,2914.75,7668.75,26147.0
6,2899.25,7578.0,26085.0
7,2898.5,7568.0,26077.0
8,2876.75,7495.75,25792.0
9,2858.0,7424.5,25671.0
10,2861.25,7433.25,25717.0
11,2861.75,7397.5,25807.0
12,2858.5,7387.0,25758.0
13,2852.25,7387.75,25674.0
14,2844.75,7389.0,25592.0
15,2821.25,7374.0,25187.0
16,2841.0,7457.75,25294.0
17,2825.5,7417.0,25215.0
18,2836.75,7427.0,25331.0
19,2853.75,7475.5,25493.0
20,2855.25,7471.5,25536.0
21,2859.75,7477.25,25600.0
22,2850.0,7444.0,25468.0
23,2839.5,7402.0,25410.0
24,2828.5,7385.75,25305.0
25,2810.75,7277.0,25289.0
26,2817.0,7244.75,25395.0
27,2803.25,7200.5,25285.0
28,2817.5,7301.25,25414.0
29,2842.5,7430.75,25525.0
30,2841.25,7469.5,25403.0
31,2821.0,7416.25,25214.0
32,2812.0,7430.5,25033.0
33,2800.75,7360.0,25030.0
34,2805.25,7367.75,25059.0
35,2816.0,7404.5,25161.0
36,2811.25,7421.75,25106.0
37,2796.5,7325.0,25041.0
38,2803.25,7393.0,25004.0
39,2798.5,7382.75,24894.0
40,2774.0,7253.75,24689.0
41,2796.75,7301.5,24927.0
42,2787.5,7300.25,24774.0
43,2763.0,7233.5,24456.0
44,2738.5,7125.75,24343.0
45,2713.25,7023.75,24163.0
46,2727.25,7116.5,24286.0
47,2721.5,7066.75,24265.0
48,2719.5,7060.5,24220.0
49,2705.0,6998.25,24135.0
50,2728.5,7104.0,24303.0
51,2722.25,7073.5,24279.0
52,2759.5,7222.75,24599.0
53,2752.5,7237.75,24472.0
54,2772.0,7313.25,24670.0
55,2766.25,7252.25,24715.0
56,2779.75,7276.0,25016.0
57,2784.5,7281.5,25109.0
58,2788.5,7311.25,25210.0
59,2779.0,7231.0,25208.0
60,2788.25,7226.25,25315.0
61,2786.75,7196.0,25348.0
62,2782.5,7176.5,25321.0
63,2776.0,7184.75,25284.0
64,2776.0,7239.0,25156.0
65,2755.5,7203.25,24839.0
66,2749.75,7173.25,24818.0
67,2738.25,7108.0,24651.0
68,2709.75,7001.5,24439.0
69,2729.0,7012.0,24691.0
70,2696.5,6969.25,24400.0
71,2722.75,6985.0,24753.0
72,2732.0,6982.25,24826.0
73,2735.5,6982.0,24883.0
74,2731.0,6934.25,24868.0
75,2737.75,6940.75,25024.0
76,2717.75,6899.0,24744.0
77,2723.5,6931.0,24725.0
78,2727.5,6962.25,24755.0
79,2713.25,6915.25,24674.0
80,2735.25,6999.0,24899.0
81,2733.5,6985.0,24837.0
82,2722.75,6990.0,24706.0
83,2700.25,6920.75,24515.0
84,2674.25,6845.5,24319.0
85,2674.25,6851.0,24313.0
86,2667.5,6798.75,24240.0
87,2636.0,6688.25,23923.0
88,2631.75,6657.25,23837.0
89,2656.5,6715.25,24084.0
90,2651.5,6636.5,24143.0
91,2675.75,6693.75,24291.0
92,2679.0,6759.0,24330.0
93,2649.25,6580.75,24094.0
94,2639.5,6552.5,24003.0
95,2676.0,6693.0,24433.0
96,2676.5,6702.75,24455.0
97,2698.0,6806.25,24657.0
98,2714.5,6870.0,24753.0
99,2711.25,6855.25,24728.0
100,2686.25,6738.25,24585.0
101,2661.75,6666.75,24359.0
102,2668.25,6696.75,24480.0
103,2645.25,6618.75,24187.0
104,2659.25,6650.25,24374.0
105,2623.0,6523.5,24040.0
106,2610.0,6481.5,23955.0
107,2666.0,6627.5,24496.0
108,2651.0,6610.0,24293.0
109,2617.25,6498.0,24012.0
110,2579.0,6423.75,23583.0
111,2647.75,6627.0,24178.0
112,2612.25,6508.5,23890.0
113,2620.25,6592.75,23890.0
114,2664.5,6805.75,24227.0
115,2602.5,6586.75,23650.0
116,2648.5,6725.5,24008.0
117,2724.75,6917.75,24773.0
118,2730.25,6952.5,24812.0
119,2729.25,6949.5,24739.0
120,2763.0,7078.0,25013.0
121,2762.25,7103.5,24966.0
122,2760.75,7092.5,24832.0
123,2779.5,7117.0,25103.0
124,2796.25,7195.75,25284.0
125,2796.25,7151.0,25411.0
126,2751.0,7029.0,24966.0
127,2735.0,6979.0,24870.0
128,2735.5,6963.0,24922.0
129,2730.0,6934.5,24952.0
130,2701.75,6861.75,24608.0
131,2690.0,6818.75,24706.0
132,2726.75,6923.25,25118.0
133,2760.25,6972.25,25497.0
134,2796.5,7055.0,25820.0
135,2760.0,6964.5,25375.0
136,2722.25,6842.75,25076.0
137,2710.0,6812.0,24838.0
138,2724.75,6840.0,25009.0
139,,6836.5,
140,,6863.5,
141,,6731.75,
142,,6607.5,
143,,6578.75,
144,,6461.25,
145,,6364.25,
146,,6604.0,
147,,6701.25,
148,,6482.0,
149,,6807.25,
150,,6950.0,
151,,7014.25,
152,,6993.0,
153,,7044.0,
154,,7080.75,
155,,6983.0,
156,,6983.25,
157,,7017.25,
158,,6974.0,
159,,6888.25,
160,,6855.5,
161,,6866.0,
162,,6803.75,
163,,6815.75,
164,,6768.0,
165,,6718.25,
166,,6726.75,
167,,6721.25,
168,,6700.25,
169,,6635.75,
170,,6616.75,
171,,6547.25,
172,,6441.25,
173,,6478.25,
174,,6487.0,
175,,6492.0,
176,,6515.25,
177,,6524.0,
178,,6521.75,
179,,6533.0,
180,,6566.5,
181,,6529.0,
182,,6437.5,
183,,6445.75,
184,,6431.5,
185,,6444.5,
186,,6387.0,
187,,6370.25,
188,,6340.25,
189,,6318.75,
190,,6312.0,
191,,6392.5,
192,,6414.5,
193,,6350.5,
194,,6464.5,
195,,6457.5,
196,,6457.5,
197,,6433.75,
198,,6423.5,
199,,6359.5,
200,,6352.75,
201,,6380.25,
202,,6305.5,
203,,6333.0,
204,,6351.25,
205,,6348.25,
206,,6353.25,
207,,6379.5,
208,,6354.25,
209,,6350.5,
210,,6326.75,
211,,6272.0,
212,,6277.0,
213,,6286.0,
214,,6260.75,
215,,6251.25,
216,,6121.25,
217,,6100.75,
218,,6115.5,
219,,6100.5,
220,,6146.75,
221,,6133.5,
222,,6154.75,
223,,6159.5,
224,,6156.0,
225,,6135.25,
226,,6110.25,
227,,6118.25,
228,,6100.75,
229,,6100.25,
230,,6099.75,
231,,6101.25,
232,,6039.0,
233,,6032.25,
234,,6014.25,
235,,6016.25,
236,,5971.75,
237,,5974.25,
238,,5925.75,
239,,5909.75,
240,,5969.25,
241,,5979.25,
242,,6012.25,
243,,6031.0,
244,,6004.0,
245,,6012.0,
246,,5986.25,
247,,6024.5,
248,,6020.0,
249,,6006.25,
250,,5940.0,
251,,5993.0,
252,,5977.75,
253,,5962.0,
254,,6010.75,
255,,6013.25,
256,,5957.25,
257,,5891.75,
258,,5867.5,
259,,5847.75,
260,,5863.25,
261,,5870.5,
262,,5901.5,
263,,5817.0,
264,,5824.5,
265,,5823.25,
266,,5946.5,
267,,5935.0,
268,,5933.0,
269,,5861.25,
270,,5812.75,
271,,5945.0,
272,,5940.5,
273,,5956.25,
274,,5920.5,
275,,5912.5,
276,,5933.0,
277,,5911.25,
278,,5904.75,
279,,5932.5,
280,,5931.75,
281,,5970.25,
282,,5956.25,
283,,5956.0,
284,,5941.0,
285,,5947.75,
286,,5940.5,
287,,5904.75,
288,,5876.75,
289,,5865.0,
290,,5819.5,
291,,5807.5,
292,,5741.5,
293,,5715.75,
294,,5677.5,
295,,5618.5,
296,,5673.75,
297,,5611.25,
298,,5675.0,
299,,5675.75,
300,,5787.25,
301,,5700.0,
302,,5802.25,
303,,5836.0,
304,,5808.5,
305,,5818.25,
306,,5755.0,
307,,5788.25,
308,,5706.0,
309,,5730.5,
