,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Current_STD_Error
0,AXISBANK,BANKBARODA,0.0,1.79,1.05,299.64,2.24
5,AXISBANK,KOTAKBANK,0.01,0.09,1.03,429.32,2.47
6,AXISBANK,PNB,0.01,-0.96,0.83,629.94,2.38
8,AXISBANK,SBIN,0.0,1.63,1.11,108.46,2.54
9,AXISBANK,YESBANK,0.0,0.84,1.12,258.54,3.29
33,ICICIBANK,YESBANK,0.01,0.18,1.12,232.97,2.08
37,RBLBANK,IDFCBANK,0.0,-4.67,0.87,740.73,2.1
46,RBLBANK,KOTAKBANK,0.0,0.32,1.03,140.15,2.49
