Time,Open,High,Low,Last,Change,Volume,"Open Interest"
09/06/18,2888.5,2893,2868,2879,-9.25,1633946,2758301
09/05/18,2898.75,2900.5,2877.5,2888.25,-10,1604742,2780588
09/04/18,2906.5,2912.5,2885.5,2898.25,-3.75,1605954,2771894
08/31/18,2898,2907.5,2891.75,2902,0,1323038,2788109
08/30/18,2915.75,2916.25,2895.5,2902,-12.75,1331841,2771995
08/29/18,2900.5,2917.5,2897.5,2914.75,15.5,1113797,2782971
08/28/18,2899,2906.25,2894.25,2899.25,0.75,902705,2768014
08/27/18,2877.75,2899.5,2876.75,2898.5,21.75,961496,2760646
08/24/18,2858.25,2877.5,2856.25,2876.75,18.75,1058571,2735145
08/23/18,2861.75,2869.75,2854.75,2858,-3.25,1050042,2727374
08/22/18,2853,2868.25,2846.25,2861.25,-0.5,996434,2738403
08/21/18,2856.75,2874,2852,2861.75,3.25,1055051,2730460
08/20/18,2851.75,2860.75,2850.25,2858.5,6.25,817383,2726276
08/17/18,2843.5,2857,2835,2852.25,7.5,1202980,2722402
08/16/18,2822.25,2851.75,2817.5,2844.75,23.5,1271529,2742522
08/15/18,2841.75,2843,2803,2821.25,-19.75,1871800,2727726
08/14/18,2826.75,2843.5,2825.75,2841,15.5,1022577,2729801
08/13/18,2835.75,2843.75,2820,2825.5,-11.25,1282874,2714240
08/10/18,2852.5,2852.75,2826,2836.75,-17,1416182,2727026
08/09/18,2853.5,2862.75,2850.5,2853.75,-1.5,696695,2757712
08/08/18,2860.5,2862.5,2852.5,2855.25,-4.5,745412,2747149
08/07/18,2849.25,2863.75,2848.25,2859.75,9.75,780222,2744347
08/06/18,2841.5,2853.5,2835,2850,10.5,797324,2735143
08/03/18,2830.75,2841.5,2824.75,2839.5,11,922242,2713635
08/02/18,2814,2831.25,2791,2828.5,17.75,1238138,2709128
08/01/18,2824.25,2825.75,2805.5,2810.75,-6.25,1098291,2673534
07/31/18,2805.5,2827.75,2802.75,2817,13.75,1366896,2677735
07/30/18,2816,2821.75,2798.25,2803.25,-14.25,1169457,2675353
07/27/18,2840.25,2847,2808.75,2817.5,-25,1492056,2682281
07/26/18,2835.25,2846.5,2833.25,2842.5,1.25,1039552,2705919
07/25/18,2819.25,2849.5,2814,2841.25,20.25,1302896,2704995
07/24/18,2810.5,2831.25,2810.25,2821,9,1347688,2697964
07/23/18,2805.25,2812.5,2792.5,2812,11.25,812481,2696073
07/20/18,2805.5,2810.5,2793,2800.75,-4.5,1013663,2691633
