,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error,Alpha:YPrice
0,6A,6E,0.0000,0.57,21.10,0.05,2.64,7.300335815447511
1,6E,6A,0.0000,1.17,18.68,0.31,-1.46,27.955631707097123
