,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Current_STD_Error
0,AXISBANK,BANKBARODA,0.00,1.79,1.05,299.64,2.24
1,HDFCBANK,AXISBANK,0.00,0.91,1.13,1520.52,-0.55
2,ICICIBANK,AXISBANK,0.00,0.43,1.13,63.20,-0.32
3,AXISBANK,IDFCBANK,0.63,0.39,0.87,527.87,2.41
4,INDUSINDBK,AXISBANK,0.00,0.73,1.13,1480.99,-0.88
5,AXISBANK,KOTAKBANK,0.01,0.09,1.03,429.32,2.47
6,AXISBANK,PNB,0.01,-0.96,0.83,629.94,2.38
7,AXISBANK,RBLBANK,0.00,0.65,1.04,200.92,1.68
8,AXISBANK,SBIN,0.00,1.63,1.11,108.46,2.54
9,AXISBANK,YESBANK,0.00,0.84,1.12,258.54,3.29
10,HDFCBANK,BANKBARODA,0.00,-2.91,1.05,2418.46,0.72
11,ICICIBANK,BANKBARODA,0.00,1.14,1.05,138.47,1.63
12,BANKBARODA,IDFCBANK,0.00,1.53,0.87,69.22,0.97
13,INDUSINDBK,BANKBARODA,0.05,-1.40,1.05,2074.00,0.11
14,BANKBARODA,KOTAKBANK,0.00,-0.05,1.03,200.99,1.10
15,BANKBARODA,PNB,0.00,0.68,0.83,77.39,1.42
16,BANKBARODA,RBLBANK,0.64,-0.01,1.04,142.97,1.01
17,SBIN,BANKBARODA,0.00,0.66,1.05,177.11,0.90
18,YESBANK,BANKBARODA,0.47,-0.15,1.05,361.49,-0.63
19,HDFCBANK,ICICIBANK,0.99,-0.01,1.21,2019.69,0.38
20,HDFCBANK,IDFCBANK,0.00,-19.38,0.87,2881.56,1.09
21,INDUSINDBK,HDFCBANK,0.00,0.77,1.69,317.44,-0.70
22,HDFCBANK,KOTAKBANK,0.00,0.91,1.03,892.12,0.77
23,HDFCBANK,PNB,0.00,-9.18,0.83,2830.22,0.03
24,HDFCBANK,RBLBANK,0.00,1.88,1.04,1017.34,-1.75
25,HDFCBANK,SBIN,0.00,2.56,1.11,1333.05,-0.27
26,HDFCBANK,YESBANK,0.00,3.24,1.12,909.96,1.71
27,ICICIBANK,IDFCBANK,0.00,1.74,0.87,218.58,1.89
28,INDUSINDBK,ICICIBANK,0.97,0.02,1.21,1876.08,-0.06
29,ICICIBANK,KOTAKBANK,0.24,-0.02,1.03,321.57,1.88
30,ICICIBANK,PNB,0.12,0.31,0.83,268.62,1.94
31,ICICIBANK,RBLBANK,0.00,0.17,1.04,206.65,1.34
32,ICICIBANK,SBIN,0.00,0.72,1.11,103.26,1.46
33,ICICIBANK,YESBANK,0.01,0.18,1.12,232.97,2.08
34,INDUSINDBK,IDFCBANK,0.00,-15.40,0.87,2566.98,0.20
35,KOTAKBANK,IDFCBANK,0.00,-20.40,0.87,2146.72,0.63
36,IDFCBANK,PNB,0.00,0.41,0.83,8.51,1.22
37,RBLBANK,IDFCBANK,0.00,-4.67,0.87,740.73,2.10
38,SBIN,IDFCBANK,0.13,-0.61,0.87,294.31,1.22
39,YESBANK,IDFCBANK,0.00,-3.49,0.87,496.96,-0.65
40,INDUSINDBK,KOTAKBANK,0.00,0.77,1.03,928.01,-0.21
41,INDUSINDBK,PNB,0.00,-7.76,0.83,2567.70,-0.59
42,INDUSINDBK,RBLBANK,0.00,1.56,1.04,1047.20,-1.97
43,INDUSINDBK,SBIN,0.00,1.94,1.11,1362.49,-0.61
44,INDUSINDBK,YESBANK,0.00,2.52,1.12,1020.76,0.61
45,KOTAKBANK,PNB,0.00,-9.43,0.83,2071.72,-0.55
46,RBLBANK,KOTAKBANK,0.00,0.32,1.03,140.15,2.49
47,SBIN,KOTAKBANK,0.00,0.07,1.03,179.40,1.23
48,YESBANK,KOTAKBANK,0.00,0.19,1.03,111.68,-1.08
49,RBLBANK,PNB,0.00,-3.06,0.83,803.09,1.88
50,SBIN,PNB,0.01,-0.52,0.83,312.86,1.10
51,YESBANK,PNB,0.00,-1.88,0.83,507.53,-1.29
52,SBIN,RBLBANK,0.00,0.33,1.04,89.03,-0.09
53,YESBANK,RBLBANK,0.00,0.45,1.04,102.03,-3.07
54,YESBANK,SBIN,0.00,0.70,1.11,153.65,-1.61
