Date,AXISBANK,BANKBARODA,HDFCBANK,ICICIBANK,IDFCBANK,INDUSINDBK,KOTAKBANK,PNB,RBLBANK,SBIN,YESBANK
2018-02-21,535.8,145.9,1857.4,319.2,52.35,1594.25,1055.05,117.3,470.85,273.3,312.35
2018-02-22,530.25,143.4,1853.2,318.35,51.4,1623.5,1072.5,114.6,469.85,272.6,316.1
2018-02-23,536.65,145.55,1880.55,322.75,51.95,1643.5,1080.85,113.45,488.0,276.05,323.45
2018-02-26,552.3,143.75,1911.55,327.05,52.3,1691.3,1105.15,112.0,494.7,274.45,326.15
2018-02-27,538.4,141.45,1902.55,322.15,52.05,1685.2,1093.05,98.35,490.3,267.6,327.15
2018-02-28,528.75,141.95,1884.2,313.25,51.5,1680.75,1090.55,101.4,490.2,268.0,322.3
2018-03-01,525.75,138.3,1874.35,304.95,51.85,1700.35,1095.7,101.05,485.05,262.15,321.05
2018-03-05,524.55,138.8,1869.95,303.35,50.85,1689.2,1100.0,100.1,477.25,263.5,312.95
2018-03-06,517.35,135.25,1846.25,295.05,50.15,1710.3,1082.45,97.85,470.0,256.55,312.15
2018-03-07,512.65,132.6,1832.6,286.7,48.9,1704.25,1085.1,95.5,453.7,246.65,311.95
2018-03-08,520.55,134.35,1852.85,296.95,49.45,1694.15,1082.3,96.65,455.45,256.8,308.55
2018-03-09,505.35,131.55,1851.05,292.7,49.95,1697.55,1082.45,95.6,456.3,253.25,303.25
2018-03-12,519.2,132.1,1867.25,300.65,49.75,1735.3,1100.6,94.6,466.6,252.85,311.15
2018-03-13,531.5,141.55,1860.25,304.35,50.15,1729.5,1083.9,97.95,467.5,254.7,312.8
2018-03-14,536.15,145.75,1864.5,306.05,50.3,1733.35,1081.75,99.3,472.1,257.05,318.85
2018-03-15,529.65,143.75,1880.8,301.45,50.25,1741.75,1085.65,98.55,476.35,253.7,311.85
2018-03-16,522.6,143.8,1853.0,298.1,50.2,1724.7,1060.75,98.85,468.35,252.3,312.9
2018-03-19,519.45,133.35,1847.25,294.55,49.35,1718.8,1049.0,96.55,463.1,247.95,304.8
2018-03-20,521.1,135.85,1839.5,292.0,49.25,1716.65,1045.3,96.85,465.1,249.1,302.4
