,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error,Alpha:YPrice
0,AXISBANK,BANKBARODA,0.7218,-0.10,0.56,651.51,2.01,85.55613919894944
1,SBIN,AXISBANK,0.0000,0.11,0.79,214.28,1.47,66.85803432137286
2,SBIN,BANKBARODA,0.0000,0.68,0.56,205.28,2.20,64.04992199687987
