Date,AXISBANK,BANKBARODA,SBIN
2018-07-16,522.1,113.05,251.6
2018-07-17,537.9,120.8,259.05
2018-07-18,526.55,117.65,259.55
2018-07-19,526.8,120.05,260.2
2018-07-20,533.7,120.25,261.5
2018-07-23,540.35,126.3,266.35
2018-07-24,546.1,132.55,266.85
2018-07-25,532.25,131.8,271.85
2018-07-26,541.65,138.85,287.7
2018-07-27,553.25,137.85,286.75
2018-07-30,569.65,152.05,297.4
2018-07-31,550.4,153.35,293.5
2018-08-01,545.15,150.2,295.1
2018-08-02,547.25,147.25,293.9
2018-08-03,574.75,149.6,299.25
2018-08-06,596.8,150.55,308.5
2018-08-07,593.05,146.15,304.05
2018-08-08,596.3,148.6,308.7
2018-08-09,621.05,154.75,317.4
2018-08-10,615.5,148.3,304.45
2018-08-13,604.9,145.65,294.15
2018-08-14,618.05,146.3,294.9
2018-08-16,623.45,142.7,292.7
2018-08-17,627.3,146.2,302.1
2018-08-20,624.4,151.0,307.65
2018-08-21,635.75,150.9,307.0
2018-08-23,631.75,149.85,302.45
2018-08-24,639.9,147.4,300.45
2018-08-27,650.2,150.05,308.0
2018-08-28,660.05,143.85,305.35
2018-08-29,656.9,147.7,309.7
2018-08-30,649.75,150.15,308.6
2018-08-31,649.25,152.95,309.6
2018-09-03,631.8,151.7,306.35
2018-09-04,641.8,145.55,296.4
2018-09-05,637.65,144.55,296.55
2018-09-06,638.2,146.1,296.45
2018-09-07,645.55,148.05,291.65
2018-09-10,651.75,146.6,284.85
2018-09-11,650.15,140.5,282.6
2018-09-12,635.45,133.55,285.3
2018-09-14,636.4,134.4,290.65
2018-09-17,625.95,135.25,285.3
2018-09-18,608.6,113.1,273.8
2018-09-19,608.8,116.35,271.5
2018-09-21,599.2,111.45,270.6
2018-09-24,597.35,107.7,264.35
2018-09-25,614.35,109.45,270.9
2018-09-26,617.45,109.15,263.85
2018-09-27,600.15,104.35,265.35
2018-09-28,613.25,99.5,265.5
2018-10-01,593.45,104.4,273.85
2018-10-03,572.25,103.3,271.7
2018-10-04,586.25,103.35,271.35
2018-10-05,568.5,99.1,258.35
2018-10-08,556.55,97.5,265.75
2018-10-09,552.85,93.25,262.95
2018-10-10,589.2,95.6,278.65
