Date,AXISBANK,BANKBARODA,SBIN
2018-10-11,580.85,93.95,262.15
2018-10-12,584.9,96.5,263.75
2018-10-15,576.55,97.35,263.2
2018-10-16,588.85,100.25,270.3
2018-10-17,576.05,99.6,261.15
2018-10-19,562.55,102.4,261.1
2018-10-22,562.05,102.6,260.35
2018-10-23,562.75,101.7,255.65
2018-10-24,564.1,102.65,255.7
2018-10-25,561.05,98.45,249.55
2018-10-26,537.7,98.85,248.1
2018-10-29,566.7,107.1,267.9
2018-10-30,562.7,110.0,273.15
2018-10-31,582.4,110.65,281.4
2018-11-01,602.15,107.7,285.9
2018-11-02,610.65,109.9,285.35
2018-11-05,624.4,111.2,294.95
2018-11-06,607.45,110.45,286.45
2018-11-07,606.85,110.95,286.55
2018-11-09,613.2,111.5,283.25
2018-11-12,606.55,109.4,277.95
2018-11-13,618.3,108.7,278.05
2018-11-14,612.7,112.75,283.6
2018-11-15,626.1,112.8,285.4
2018-11-16,619.8,115.2,290.9
2018-11-19,616.3,115.35,288.15
2018-11-20,612.65,110.2,283.45
2018-11-21,626.85,112.2,287.05
2018-11-22,614.55,109.9,282.7
2018-11-26,631.05,108.9,286.4
2018-11-27,625.25,108.95,289.4
2018-11-28,627.95,104.75,284.55
2018-11-29,631.4,105.0,286.4
2018-11-30,625.75,105.05,284.65
2018-12-03,624.8,106.95,286.8
2018-12-04,623.25,107.85,282.55
2018-12-05,614.95,107.45,280.15
2018-12-06,600.05,105.25,275.65
2018-12-07,603.95,106.4,275.4
2018-12-10,590.3,105.95,274.2
2018-12-11,604.25,109.05,281.25
2018-12-12,619.95,113.4,285.25
2018-12-13,619.1,111.85,289.0
2018-12-14,620.25,111.4,289.2
2018-12-17,617.15,111.8,289.5
2018-12-18,619.4,112.45,292.75
2018-12-19,641.65,115.6,300.7
2018-12-20,632.95,114.9,294.05
2018-12-21,620.85,115.1,291.9
2018-12-24,615.0,115.4,293.05
2018-12-26,619.5,117.7,294.15
2018-12-27,617.55,116.4,292.15
2018-12-28,625.05,118.35,294.8
2018-12-31,619.9,118.8,295.9
2019-01-01,627.3,123.3,299.6
2019-01-02,620.05,119.35,293.9
2019-01-03,607.95,119.3,291.1
2019-01-04,619.6,121.7,297.65
2019-01-07,637.45,122.7,296.3
2019-01-08,650.9,123.85,305.3
2019-01-09,670.1,122.95,305.3
2019-01-10,663.25,123.45,305.55
2019-01-11,666.5,121.15,302.75
2019-01-14,659.2,120.95,300.4
2019-01-15,660.6,121.1,301.65
2019-01-16,664.0,121.0,303.15
2019-01-17,676.65,119.2,297.4
2019-01-18,664.6,118.0,294.95
2019-01-21,660.3,116.45,292.45
2019-01-22,661.6,113.8,290.25
2019-01-23,661.6,111.3,286.65
2019-01-24,663.65,113.0,288.05
2019-01-25,669.75,110.2,285.4
2019-01-28,656.3,109.15,281.6
2019-01-29,660.75,113.75,280.6
2019-01-30,690.95,113.7,287.45
2019-01-31,722.7,112.45,293.65
2019-02-01,717.25,111.1,284.4
2019-02-04,720.5,110.3,283.95
2019-02-05,729.5,107.95,284.65
2019-02-06,725.75,109.2,289.05
2019-02-07,730.15,108.9,287.4
2019-02-08,719.4,104.9,286.0
2019-02-11,710.85,103.9,280.5
2019-02-12,705.6,102.65,275.4
2019-02-13,697.5,102.4,268.2
2019-02-14,695.0,103.65,267.1
2019-02-15,686.6,100.85,262.95
2019-02-18,693.3,99.15,259.95
2019-02-19,693.05,102.45,262.9
2019-02-20,700.35,102.95,267.7
2019-02-21,697.2,103.0,268.0
2019-02-22,702.05,102.8,270.95
2019-02-25,703.7,102.9,270.15
2019-02-26,710.15,101.5,266.35
2019-02-27,718.2,101.0,267.65
2019-02-28,709.55,101.0,269.05
2019-03-01,702.4,108.1,272.95
2019-03-05,732.05,112.55,276.45
2019-03-06,720.6,112.1,278.1
2019-03-07,733.75,115.2,281.75
2019-03-08,733.4,113.6,281.2
2019-03-11,734.5,116.05,287.35
2019-03-12,742.55,115.35,286.9
2019-03-13,738.0,115.55,293.15
2019-03-14,740.6,116.55,291.9
2019-03-15,735.1,118.15,298.4
2019-03-18,751.6,120.55,298.95
2019-03-19,760.9,124.4,303.05
2019-03-20,755.75,125.2,303.8
2019-03-22,757.05,120.1,298.05
2019-03-25,745.7,118.2,294.0
2019-03-26,757.1,120.8,303.5
2019-03-27,759.3,121.55,308.8
2019-03-28,780.7,130.1,319.0
2019-03-29,777.25,128.65,320.75
2019-04-01,765.6,132.7,322.75
2019-04-02,767.4,133.2,329.0
2019-04-03,761.5,132.05,320.5
