Date,Open,High,Low,Close,Volume,Adj Close
2017-01-02,8210.099609,8212.0,8133.799805,8179.5,118300,8179.5
2017-01-03,8196.049805,8219.099609,8148.600098,8192.25,127300,8192.25
2017-01-04,8202.650391,8218.5,8180.899902,8190.5,132400,8190.5
2017-01-05,8226.650391,8282.650391,8223.700195,8273.799805,159100,8273.799805
2017-01-06,8281.849609,8306.849609,8233.25,8243.799805,139400,8243.799805
2017-01-09,8259.349609,8263.0,8227.75,8236.049805,99100,8236.049805
2017-01-10,8262.700195,8293.799805,8261.0,8288.599609,142900,8288.599609
2017-01-11,8327.799805,8389.0,8322.25,8380.650391,186500,8380.650391
2017-01-12,8391.049805,8417.200195,8382.299805,8407.200195,172600,8407.200195
2017-01-13,8457.650391,8461.049805,8373.150391,8400.349609,185300,8400.349609
2017-01-16,8390.950195,8426.700195,8374.400391,8412.799805,0,8412.799805
2017-01-17,8415.049805,8440.900391,8378.299805,8398.0,0,8398.0
2017-01-18,8403.849609,8460.299805,8397.400391,8417.0,163800,8417.0
2017-01-19,8418.400391,8445.150391,8404.049805,8435.099609,165900,8435.099609
2017-01-20,8404.349609,8423.650391,8340.950195,8349.349609,0,8349.349609
2017-01-23,8329.599609,8404.150391,8327.200195,8391.5,195000,8391.5
2017-01-24,8407.049805,8480.950195,8398.150391,8475.799805,179200,8475.799805
2017-01-25,8499.450195,8612.599609,8493.950195,8602.75,292500,8602.75
2017-01-27,8610.5,8672.700195,8606.900391,8641.25,275400,8641.25
2017-01-30,8635.549805,8662.599609,8617.75,8632.75,304700,8632.75
2017-01-31,8629.450195,8631.75,8552.400391,8561.299805,521000,8561.299805
2017-02-01,8570.349609,8722.400391,8537.5,8716.400391,327700,8716.400391
2017-02-02,8724.75,8757.599609,8685.799805,8734.25,283500,8734.25
2017-02-03,8735.150391,8748.25,8707.75,8740.950195,191000,8740.950195
2017-02-06,8785.450195,8814.099609,8770.200195,8801.049805,194400,8801.049805
2017-02-07,8805.700195,8809.299805,8741.049805,8768.299805,226300,8768.299805
2017-02-08,8774.549805,8791.25,8715.0,8769.049805,218700,8769.049805
2017-02-09,8795.549805,8821.400391,8724.099609,8778.400391,187500,8778.400391
2017-02-10,8812.349609,8822.099609,8771.200195,8793.549805,225900,8793.549805
2017-02-13,8819.799805,8826.900391,8754.200195,8805.049805,204900,8805.049805
2017-02-14,8819.900391,8820.450195,8772.5,8792.299805,188300,8792.299805
2017-02-15,8778.950195,8807.900391,8712.849609,8724.700195,216100,8724.700195
2017-02-16,8739.0,8783.950195,8719.599609,8778.0,184600,8778.0
2017-02-17,8883.700195,8896.450195,8804.25,8821.700195,298300,8821.700195
2017-02-20,8818.549805,8886.25,8809.799805,8879.200195,167800,8879.200195
2017-02-21,8890.75,8920.799805,8860.950195,8907.849609,175700,8907.849609
2017-02-22,8931.599609,8960.75,8905.25,8926.900391,247100,8926.900391
2017-02-23,8956.400391,8982.150391,8927.549805,8939.5,377200,8939.5
2017-02-27,8943.700195,8951.799805,8888.650391,8896.700195,189900,8896.700195
2017-02-28,8898.950195,8914.75,8867.599609,8879.599609,293600,8879.599609
2017-03-01,8904.400391,8960.799805,8898.599609,8945.799805,205900,8945.799805
2017-03-02,8982.849609,8992.5,8879.799805,8899.75,218800,8899.75
2017-03-03,8883.5,8907.099609,8860.099609,8897.549805,202600,8897.549805
2017-03-06,8915.099609,8967.799805,8914.0,8963.450195,174800,8963.450195
2017-03-07,8977.75,8977.849609,8932.799805,8946.900391,173400,8946.900391
2017-03-08,8950.700195,8957.049805,8891.950195,8924.299805,177800,8924.299805
2017-03-09,8914.5,8945.799805,8899.5,8927.0,171500,8927.0
2017-03-10,8953.700195,8975.700195,8903.950195,8934.549805,152700,8934.549805
2017-03-14,9091.650391,9122.75,9060.5,9087.0,270300,9087.0
2017-03-15,9086.849609,9106.549805,9075.5,9084.799805,240600,9084.799805
2017-03-16,9129.650391,9158.450195,9128.549805,9153.700195,208600,9153.700195
2017-03-17,9207.799805,9218.400391,9147.599609,9160.049805,286700,9160.049805
2017-03-20,9166.950195,9167.599609,9116.299805,9126.849609,332100,9126.849609
2017-03-21,9133.950195,9147.75,9087.200195,9121.5,247700,9121.5
2017-03-22,9047.200195,9072.900391,9019.299805,9030.450195,232300,9030.450195
2017-03-23,9048.75,9099.049805,9048.599609,9086.299805,191800,9086.299805
2017-03-24,9104.0,9133.549805,9089.400391,9108.0,203700,9108.0
2017-03-27,9093.450195,9094.849609,9024.650391,9045.200195,202700,9045.200195
2017-03-28,9081.5,9110.400391,9079.799805,9100.799805,183300,9100.799805
2017-03-29,9128.700195,9153.150391,9109.099609,9143.799805,243400,9143.799805
2017-03-30,9142.599609,9183.150391,9136.349609,9173.75,323400,9173.75
2017-03-31,9158.900391,9191.700195,9152.099609,9173.75,190900,9173.75
2017-04-03,9220.599609,9245.349609,9192.400391,9237.849609,139100,9237.849609
2017-04-05,9264.400391,9273.900391,9215.400391,9265.150391,184800,9265.150391
2017-04-06,9245.799805,9267.950195,9218.849609,9261.950195,186100,9261.950195
2017-04-07,9223.700195,9250.5,9188.099609,9198.299805,190000,9198.299805
2017-04-10,9225.599609,9225.650391,9174.849609,9181.450195,135800,9181.450195
